request_id,model_name,gpu_id,batch_id,arrival_time_readable,completion_time_readable,processing_time_us,status,slo_status,request_count
efficientnetb0_1_1749331777752410,efficientnetb0,1,efficientnetb0_1,2025-06-07 14:29:37,2025-06-07 14:29:37,160.393,Processed,Met,1
resnet18_1_1749331777753139,resnet18,1,resnet18_1,2025-06-07 14:29:38,2025-06-07 14:29:38,183.016,Processed,Met,1
vit16_1_1749331777751839,vit16,1,vit16_1,2025-06-07 14:29:38,2025-06-07 14:29:38,196.575,Processed,Met,8
vit16_1_1749331777751839,vit16,1,vit16_1,2025-06-07 14:29:38,2025-06-07 14:29:38,208.61,Processed,Met,8
vit16_1_1749331777751839,vit16,1,vit16_1,2025-06-07 14:29:38,2025-06-07 14:29:38,213.99,Processed,Met,2
efficientnetb0_0_1749331777252317,efficientnetb0,0,efficientnetb0_0,2025-06-07 14:29:38,2025-06-07 14:29:38,805.172,Processed,Met,8
vit16_1_1749331778251929,vit16,1,vit16_1,2025-06-07 14:29:38,2025-06-07 14:29:38,13.09,Processed,Met,8
efficientnetb0_0_1749331778252509,efficientnetb0,0,efficientnetb0_0,2025-06-07 14:29:38,2025-06-07 14:29:38,16.306,Processed,Met,8
resnet18_0_1749331778253256,resnet18,0,resnet18_0,2025-06-07 14:29:38,2025-06-07 14:29:38,40.161,Processed,Met,8
vit16_0_1749331778251929,vit16,0,vit16_0,2025-06-07 14:29:38,2025-06-07 14:29:38,54.76,Processed,Met,8
efficientnetb0_0_1749331778252509,efficientnetb0,0,efficientnetb0_0,2025-06-07 14:29:38,2025-06-07 14:29:38,58.954,Processed,Met,8
resnet18_0_1749331778253256,resnet18,0,resnet18_0,2025-06-07 14:29:38,2025-06-07 14:29:38,63.026,Processed,Met,8
vit16_0_1749331778251929,vit16,0,vit16_0,2025-06-07 14:29:38,2025-06-07 14:29:38,77.61,Processed,Met,8
efficientnetb0_0_1749331778252509,efficientnetb0,0,efficientnetb0_0,2025-06-07 14:29:38,2025-06-07 14:29:38,138.015,Processed,Met,1
resnet18_0_1749331778253256,resnet18,0,resnet18_0,2025-06-07 14:29:38,2025-06-07 14:29:38,140.902,Processed,Met,8
vit16_0_1749331778251929,vit16,0,vit16_0,2025-06-07 14:29:38,2025-06-07 14:29:38,155.445,Processed,Met,8
resnet18_0_1749331778253256,resnet18,0,resnet18_0,2025-06-07 14:29:38,2025-06-07 14:29:38,177.42,Processed,Met,1
