timestamp,model_name,rate
2025-06-07 14:26:27,efficientnetb0,50
2025-06-07 14:26:27,resnet18,50
2025-06-07 14:26:27,vit16,100
2025-06-07 14:26:28,efficientnetb0,50
2025-06-07 14:26:28,resnet18,50
2025-06-07 14:26:28,vit16,100
2025-06-07 14:26:29,efficientnetb0,50
2025-06-07 14:26:29,resnet18,50
2025-06-07 14:26:29,vit16,100
2025-06-07 14:26:30,efficientnetb0,50
2025-06-07 14:26:30,resnet18,50
2025-06-07 14:26:30,vit16,100
2025-06-07 14:26:31,efficientnetb0,50
2025-06-07 14:26:31,resnet18,50
2025-06-07 14:26:31,vit16,100
2025-06-07 14:26:32,efficientnetb0,50
2025-06-07 14:26:32,resnet18,50
2025-06-07 14:26:32,vit16,100
2025-06-07 14:26:33,efficientnetb0,50
2025-06-07 14:26:33,resnet18,50
2025-06-07 14:26:33,vit16,100
2025-06-07 14:26:34,efficientnetb0,50
2025-06-07 14:26:34,resnet18,50
2025-06-07 14:26:34,vit16,100
2025-06-07 14:26:35,efficientnetb0,50
2025-06-07 14:26:35,resnet18,50
2025-06-07 14:26:35,vit16,100
2025-06-07 14:26:36,efficientnetb0,50
2025-06-07 14:26:36,resnet18,50
2025-06-07 14:26:36,vit16,100
2025-06-07 14:26:37,efficientnetb0,50
2025-06-07 14:26:37,resnet18,50
2025-06-07 14:26:37,vit16,100
2025-06-07 14:26:38,efficientnetb0,50
2025-06-07 14:26:38,resnet18,50
2025-06-07 14:26:38,vit16,100
2025-06-07 14:26:39,efficientnetb0,50
2025-06-07 14:26:39,resnet18,50
2025-06-07 14:26:39,vit16,100
2025-06-07 14:26:40,efficientnetb0,50
2025-06-07 14:26:40,resnet18,50
2025-06-07 14:26:40,vit16,100
2025-06-07 14:26:41,efficientnetb0,50
2025-06-07 14:26:41,resnet18,50
2025-06-07 14:26:41,vit16,100
2025-06-07 14:26:42,efficientnetb0,50
2025-06-07 14:26:42,resnet18,50
2025-06-07 14:26:42,vit16,100
2025-06-07 14:26:43,efficientnetb0,50
2025-06-07 14:26:43,resnet18,50
2025-06-07 14:26:43,vit16,100
2025-06-07 14:26:44,efficientnetb0,50
2025-06-07 14:26:44,resnet18,50
2025-06-07 14:26:44,vit16,100
2025-06-07 14:26:45,efficientnetb0,50
2025-06-07 14:26:45,resnet18,50
2025-06-07 14:26:45,vit16,100
2025-06-07 14:26:46,efficientnetb0,50
2025-06-07 14:26:46,resnet18,50
2025-06-07 14:26:46,vit16,100
2025-06-07 14:26:47,efficientnetb0,50
2025-06-07 14:26:47,resnet18,50
2025-06-07 14:26:47,vit16,100
2025-06-07 14:26:48,efficientnetb0,50
2025-06-07 14:26:48,resnet18,50
2025-06-07 14:26:48,vit16,100
2025-06-07 14:26:49,efficientnetb0,50
2025-06-07 14:26:49,resnet18,50
2025-06-07 14:26:49,vit16,100
2025-06-07 14:26:50,efficientnetb0,2
2025-06-07 14:26:50,resnet18,2
2025-06-07 14:26:50,vit16,4
2025-06-07 14:26:51,efficientnetb0,4
2025-06-07 14:26:51,resnet18,4
2025-06-07 14:26:51,vit16,8
2025-06-07 14:26:52,efficientnetb0,6
2025-06-07 14:26:52,resnet18,6
2025-06-07 14:26:52,vit16,12
2025-06-07 14:26:53,efficientnetb0,8
2025-06-07 14:26:53,resnet18,8
2025-06-07 14:26:53,vit16,16
2025-06-07 14:26:54,efficientnetb0,10
2025-06-07 14:26:54,resnet18,10
2025-06-07 14:26:54,vit16,20
2025-06-07 14:26:55,efficientnetb0,12
2025-06-07 14:26:55,resnet18,12
2025-06-07 14:26:55,vit16,24
2025-06-07 14:26:56,efficientnetb0,14
2025-06-07 14:26:56,resnet18,14
2025-06-07 14:26:56,vit16,28
2025-06-07 14:26:57,efficientnetb0,16
2025-06-07 14:26:57,resnet18,16
2025-06-07 14:26:57,vit16,32
2025-06-07 14:26:58,efficientnetb0,18
2025-06-07 14:26:58,resnet18,18
2025-06-07 14:26:58,vit16,36
2025-06-07 14:26:59,efficientnetb0,20
2025-06-07 14:26:59,resnet18,20
2025-06-07 14:26:59,vit16,40
2025-06-07 14:27:00,efficientnetb0,22
2025-06-07 14:27:00,resnet18,22
2025-06-07 14:27:00,vit16,44
2025-06-07 14:27:01,efficientnetb0,24
2025-06-07 14:27:01,resnet18,24
2025-06-07 14:27:01,vit16,48
2025-06-07 14:27:02,efficientnetb0,26
2025-06-07 14:27:02,resnet18,26
2025-06-07 14:27:02,vit16,52
2025-06-07 14:27:03,efficientnetb0,28
2025-06-07 14:27:03,resnet18,28
2025-06-07 14:27:03,vit16,56
2025-06-07 14:27:04,efficientnetb0,30
2025-06-07 14:27:04,resnet18,30
2025-06-07 14:27:04,vit16,60
2025-06-07 14:27:05,efficientnetb0,33
2025-06-07 14:27:05,resnet18,33
2025-06-07 14:27:05,vit16,66
2025-06-07 14:27:06,efficientnetb0,35
2025-06-07 14:27:06,resnet18,35
2025-06-07 14:27:06,vit16,70
