timestamp,model_name,violation_count
2025-06-07 14:26:27,efficientnetb0,2075
2025-06-07 14:26:27,resnet18,2075
2025-06-07 14:26:27,vit16,4175
2025-06-07 14:26:59,resnet18,2
2025-06-07 14:27:00,efficientnetb0,2
2025-06-07 14:27:00,vit16,4
2025-06-07 14:27:02,efficientnetb0,5
2025-06-07 14:27:02,resnet18,4
2025-06-07 14:27:02,vit16,9
2025-06-07 14:27:05,efficientnetb0,7
2025-06-07 14:27:05,resnet18,7
2025-06-07 14:27:08,efficientnetb0,10
2025-06-07 14:27:08,resnet18,4
2025-06-07 14:27:08,vit16,12
2025-06-07 14:27:10,vit16,16
2025-06-07 14:27:10,efficientnetb0,12
2025-06-07 14:27:10,resnet18,8
2025-06-07 14:27:12,efficientnetb0,14
2025-06-07 14:27:12,resnet18,12
2025-06-07 14:27:12,vit16,20
2025-06-07 14:27:13,efficientnetb0,16
2025-06-07 14:27:14,efficientnetb0,16
2025-06-07 14:27:14,vit16,8
2025-06-07 14:27:16,resnet18,2
2025-06-07 14:27:16,vit16,10
2025-06-07 14:27:17,vit16,4
2025-06-07 14:27:18,vit16,12
2025-06-07 14:27:18,efficientnetb0,1
2025-06-07 14:27:18,resnet18,1
2025-06-07 14:27:20,vit16,2
2025-06-07 14:27:20,resnet18,1
2025-06-07 14:27:21,efficientnetb0,1
2025-06-07 14:27:21,vit16,2
2025-06-07 14:27:23,resnet18,1
2025-06-07 14:27:23,vit16,20
2025-06-07 14:27:24,resnet18,1
2025-06-07 14:27:24,vit16,4
2025-06-07 14:27:25,efficientnetb0,1
2025-06-07 14:27:25,vit16,20
2025-06-07 14:27:27,vit16,2
2025-06-07 14:27:28,resnet18,2
2025-06-07 14:27:28,vit16,12
2025-06-07 14:27:29,vit16,4
2025-06-07 14:27:30,vit16,2
2025-06-07 14:27:30,efficientnetb0,1
2025-06-07 14:27:32,resnet18,1
2025-06-07 14:27:32,vit16,12
2025-06-07 14:27:33,vit16,12
2025-06-07 14:27:34,efficientnetb0,1
2025-06-07 14:27:34,resnet18,1
2025-06-07 14:27:34,vit16,12
2025-06-07 14:27:36,resnet18,2
2025-06-07 14:27:37,resnet18,2
2025-06-07 14:27:37,vit16,4
2025-06-07 14:27:38,efficientnetb0,1
2025-06-07 14:27:38,vit16,2
2025-06-07 14:27:40,vit16,12
2025-06-07 14:27:40,resnet18,2
2025-06-07 14:27:41,vit16,12
2025-06-07 14:27:41,resnet18,1
2025-06-07 14:27:42,resnet18,2
2025-06-07 14:27:42,vit16,2
2025-06-07 14:27:43,resnet18,1
2025-06-07 14:27:43,vit16,12
2025-06-07 14:27:44,resnet18,2
2025-06-07 14:27:44,vit16,4
2025-06-07 14:27:45,resnet18,2
2025-06-07 14:27:45,vit16,2
2025-06-07 14:27:46,efficientnetb0,1
2025-06-07 14:27:46,resnet18,1
2025-06-07 14:27:46,vit16,12
2025-06-07 14:27:48,resnet18,1
2025-06-07 14:27:48,vit16,2
2025-06-07 14:27:49,vit16,10
2025-06-07 14:27:49,resnet18,1
2025-06-07 14:27:50,efficientnetb0,1
2025-06-07 14:27:50,resnet18,1
2025-06-07 14:27:50,vit16,12
2025-06-07 14:27:52,vit16,2
2025-06-07 14:27:53,resnet18,1
2025-06-07 14:27:53,vit16,20
2025-06-07 14:27:54,efficientnetb0,1
2025-06-07 14:27:54,vit16,2
2025-06-07 14:27:56,resnet18,2
2025-06-07 14:27:56,vit16,2
2025-06-07 14:27:57,vit16,12
2025-06-07 14:27:58,vit16,12
2025-06-07 14:27:58,resnet18,1
2025-06-07 14:28:00,vit16,2
2025-06-07 14:28:00,resnet18,1
2025-06-07 14:28:01,resnet18,1
2025-06-07 14:28:01,vit16,4
2025-06-07 14:28:02,efficientnetb0,1
2025-06-07 14:28:02,vit16,12
2025-06-07 14:28:04,vit16,2
2025-06-07 14:28:05,resnet18,2
2025-06-07 14:28:05,vit16,10
2025-06-07 14:28:06,vit16,10
2025-06-07 14:28:07,resnet18,2
2025-06-07 14:28:07,vit16,4
2025-06-07 14:28:08,resnet18,1
2025-06-07 14:28:08,vit16,12
2025-06-07 14:28:09,vit16,2
