request_id,model_name,gpu_id,batch_id,arrival_time_readable,completion_time_readable,processing_time_us,status,slo_status,request_count
efficientnetb0_0_1749335116451681,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:17,2025-06-07 15:25:17,562.669,Processed,Met,8
resnet18_0_174933,resnet18,0,resnet18_0,2025-06-07 15:25:17,2025-06-07 15:25:17,1749335116845.27,Processed,Violated,8
vit16_0_1749335116952468,vit16,0,vit16_0,2025-06-07 15:25:17,2025-06-07 15:25:17,141.209,Processed,Met,50
efficientnetb0_0_1749335116451681,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:17,2025-06-07 15:25:17,650.166,Processed,Met,8
resnet18_0_1749335116452380,resnet18,0,resnet18_0,2025-06-07 15:25:17,2025-06-07 15:25:17,655.339,Processed,Met,8
efficientnetb0_0_1749335116451681,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:17,2025-06-07 15:25:17,664.128,Processed,Met,8
resnet18_0_1749335116452380,resnet18,0,resnet18_0,2025-06-07 15:25:17,2025-06-07 15:25:17,668.105,Processed,Met,1
resnet18_0_1749335116952442,resnet18,0,resnet18_0,2025-06-07 15:25:17,2025-06-07 15:25:17,168.043,Processed,Met,7
efficientnetb0_0_1749335116451681,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:17,2025-06-07 15:25:17,673.622,Processed,Met,1
efficientnetb0_0_1749335116951812,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:17,2025-06-07 15:25:17,173.491,Processed,Met,7
resnet18_0_1749335116952442,resnet18,0,resnet18_0,2025-06-07 15:25:17,2025-06-07 15:25:17,177.368,Processed,Met,8
efficientnetb0_0_1749335116951812,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:17,2025-06-07 15:25:17,182.728,Processed,Met,8
resnet18_0_1749335116952442,resnet18,0,resnet18_0,2025-06-07 15:25:17,2025-06-07 15:25:17,186.577,Processed,Met,8
efficientnetb0_0_1749335116951812,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:17,2025-06-07 15:25:17,191.825,Processed,Met,8
resnet18_0_1749335116952442,resnet18,0,resnet18_0,2025-06-07 15:25:17,2025-06-07 15:25:17,213.848,Processed,Met,2
efficientnetb0_0_1749335116951812,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:17,2025-06-07 15:25:17,433.264,Processed,Met,2
efficientnetb0_0_1749335117451925,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:18,2025-06-07 15:25:18,719.713,Processed,Met,8
resnet18_0_1749335117452538,resnet18,0,resnet18_0,2025-06-07 15:25:18,2025-06-07 15:25:18,741.384,Processed,Met,8
vit16_0_1749335117452561,vit16,0,vit16_0,2025-06-07 15:25:18,2025-06-07 15:25:18,894.101,Processed,Met,50
vit16_0_1749335117952678,vit16,0,vit16_0,2025-06-07 15:25:18,2025-06-07 15:25:18,393.984,Processed,Met,50
efficientnetb0_0_1749335117451925,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:18,2025-06-07 15:25:18,903.489,Processed,Met,8
resnet18_0_1749335117452538,resnet18,0,resnet18_0,2025-06-07 15:25:18,2025-06-07 15:25:18,908.454,Processed,Met,8
efficientnetb0_0_1749335117451925,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:18,2025-06-07 15:25:18,917.099,Processed,Met,8
resnet18_0_1749335117452538,resnet18,0,resnet18_0,2025-06-07 15:25:18,2025-06-07 15:25:18,922.133,Processed,Met,8
efficientnetb0_0_1749335117952044,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:18,2025-06-07 15:25:18,430.861,Processed,Met,8
resnet18_0_1749335117452538,resnet18,0,resnet18_0,2025-06-07 15:25:18,2025-06-07 15:25:18,934.754,Processed,Met,1
resnet18_0_1749335117952704,resnet18,0,resnet18_0,2025-06-07 15:25:18,2025-06-07 15:25:18,434.588,Processed,Met,7
efficientnetb0_0_1749335117952044,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:18,2025-06-07 15:25:18,439.866,Processed,Met,8
resnet18_0_1749335117952704,resnet18,0,resnet18_0,2025-06-07 15:25:18,2025-06-07 15:25:18,443.608,Processed,Met,8
efficientnetb0_0_1749335117952044,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:18,2025-06-07 15:25:18,448.824,Processed,Met,8
resnet18_0_1749335117952704,resnet18,0,resnet18_0,2025-06-07 15:25:18,2025-06-07 15:25:18,452.445,Processed,Met,8
efficientnetb0_0_1749335117952044,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:18,2025-06-07 15:25:18,513.331,Processed,Met,1
resnet18_0_1749335117952704,resnet18,0,resnet18_0,2025-06-07 15:25:18,2025-06-07 15:25:18,515.874,Processed,Met,2
resnet18_0_1749335118452825,resnet18,0,resnet18_0,2025-06-07 15:25:18,2025-06-07 15:25:18,15.753,Processed,Met,6
vit16_0_1749335118452797,vit16,0,vit16_0,2025-06-07 15:25:18,2025-06-07 15:25:18,85.316,Processed,Met,50
efficientnetb0_0_1749335118452148,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:19,2025-06-07 15:25:19,798.815,Processed,Met,8
resnet18_0_1749335118452825,resnet18,0,resnet18_0,2025-06-07 15:25:19,2025-06-07 15:25:19,802.369,Processed,Met,8
vit16_0_1749335118952915,vit16,0,vit16_0,2025-06-07 15:25:19,2025-06-07 15:25:19,371.066,Processed,Met,50
efficientnetb0_0_1749335118452148,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:19,2025-06-07 15:25:19,879.676,Processed,Met,8
resnet18_0_1749335118452825,resnet18,0,resnet18_0,2025-06-07 15:25:19,2025-06-07 15:25:19,883.877,Processed,Met,8
efficientnetb0_0_1749335118452148,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:19,2025-06-07 15:25:19,892.528,Processed,Met,8
resnet18_0_1749335118452825,resnet18,0,resnet18_0,2025-06-07 15:25:19,2025-06-07 15:25:19,896.516,Processed,Met,3
resnet18_0_1749335118952948,resnet18,0,resnet18_0,2025-06-07 15:25:19,2025-06-07 15:25:19,396.393,Processed,Met,5
efficientnetb0_0_1749335118452148,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:19,2025-06-07 15:25:19,902.012,Processed,Met,1
efficientnetb0_0_1749335118952252,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:19,2025-06-07 15:25:19,401.908,Processed,Met,7
resnet18_0_1749335118952948,resnet18,0,resnet18_0,2025-06-07 15:25:19,2025-06-07 15:25:19,405.803,Processed,Met,8
efficientnetb0_0_1749335118952252,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:19,2025-06-07 15:25:19,411.189,Processed,Met,8
resnet18_0_1749335118952948,resnet18,0,resnet18_0,2025-06-07 15:25:19,2025-06-07 15:25:19,414.85,Processed,Met,8
efficientnetb0_0_1749335118952252,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:19,2025-06-07 15:25:19,420.054,Processed,Met,8
resnet18_0_1749335118952948,resnet18,0,resnet18_0,2025-06-07 15:25:19,2025-06-07 15:25:19,443.02,Processed,Met,4
efficientnetb0_0_1749335118952252,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:19,2025-06-07 15:25:19,665.488,Processed,Met,2
resnet18_0_1749335119453065,resnet18,0,resnet18_0,2025-06-07 15:25:19,2025-06-07 15:25:19,187.492,Processed,Met,8
vit16_0_1749335119453006,vit16,0,vit16_0,2025-06-07 15:25:19,2025-06-07 15:25:19,256.91,Processed,Met,50
efficientnetb0_0_1749335119452352,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:20,2025-06-07 15:25:20,978.058,Processed,Met,8
resnet18_0_1749335119953187,resnet18,0,resnet18_0,2025-06-07 15:25:20,2025-06-07 15:25:20,481.437,Processed,Met,8
vit16_0_1749335119953121,vit16,0,vit16_0,2025-06-07 15:25:20,2025-06-07 15:25:20,550.184,Processed,Met,50
efficientnetb0_0_1749335119952464,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:20,2025-06-07 15:25:20,558.929,Processed,Met,8
resnet18_0_1749335119953187,resnet18,0,resnet18_0,2025-06-07 15:25:20,2025-06-07 15:25:20,564.126,Processed,Met,8
vit16_0_1749335120453204,vit16,0,vit16_0,2025-06-07 15:25:20,2025-06-07 15:25:20,137.184,Processed,Met,50
efficientnetb0_0_1749335119952464,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:20,2025-06-07 15:25:20,645.926,Processed,Met,8
resnet18_0_1749335119953187,resnet18,0,resnet18_0,2025-06-07 15:25:20,2025-06-07 15:25:20,650.155,Processed,Met,8
efficientnetb0_0_1749335119952464,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:20,2025-06-07 15:25:20,658.947,Processed,Met,8
resnet18_0_1749335119953187,resnet18,0,resnet18_0,2025-06-07 15:25:20,2025-06-07 15:25:20,663.135,Processed,Met,1
resnet18_0_1749335120453300,resnet18,0,resnet18_0,2025-06-07 15:25:20,2025-06-07 15:25:20,163.022,Processed,Met,7
efficientnetb0_0_1749335119952464,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:20,2025-06-07 15:25:20,668.511,Processed,Met,1
efficientnetb0_0_1749335120452575,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:20,2025-06-07 15:25:20,168.4,Processed,Met,7
resnet18_0_1749335120453300,resnet18,0,resnet18_0,2025-06-07 15:25:20,2025-06-07 15:25:20,172.312,Processed,Met,8
efficientnetb0_0_1749335120452575,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:20,2025-06-07 15:25:20,177.739,Processed,Met,8
resnet18_0_1749335120453300,resnet18,0,resnet18_0,2025-06-07 15:25:20,2025-06-07 15:25:20,181.541,Processed,Met,8
efficientnetb0_0_1749335120452575,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:20,2025-06-07 15:25:20,186.889,Processed,Met,8
resnet18_0_1749335120453300,resnet18,0,resnet18_0,2025-06-07 15:25:20,2025-06-07 15:25:20,208.435,Processed,Met,2
efficientnetb0_0_1749335120452575,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:21,2025-06-07 15:25:21,437.078,Processed,Met,2
efficientnetb0_0_1749335120952655,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:21,2025-06-07 15:25:21,722.06,Processed,Met,8
resnet18_0_1749335120953395,resnet18,0,resnet18_0,2025-06-07 15:25:21,2025-06-07 15:25:21,744.429,Processed,Met,8
vit16_0_1749335120953311,vit16,0,vit16_0,2025-06-07 15:25:21,2025-06-07 15:25:21,898.032,Processed,Met,50
vit16_0_1749335121453441,vit16,0,vit16_0,2025-06-07 15:25:21,2025-06-07 15:25:21,397.902,Processed,Met,50
efficientnetb0_0_1749335120952655,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:21,2025-06-07 15:25:21,907.545,Processed,Met,8
resnet18_0_1749335120953395,resnet18,0,resnet18_0,2025-06-07 15:25:21,2025-06-07 15:25:21,912.551,Processed,Met,8
efficientnetb0_0_1749335120952655,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:21,2025-06-07 15:25:21,921.46,Processed,Met,8
resnet18_0_1749335120953395,resnet18,0,resnet18_0,2025-06-07 15:25:21,2025-06-07 15:25:21,927.111,Processed,Met,8
efficientnetb0_0_1749335121452737,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:21,2025-06-07 15:25:21,436.088,Processed,Met,8
resnet18_0_1749335120953395,resnet18,0,resnet18_0,2025-06-07 15:25:21,2025-06-07 15:25:21,939.924,Processed,Met,1
resnet18_0_1749335121453509,resnet18,0,resnet18_0,2025-06-07 15:25:21,2025-06-07 15:25:21,439.81,Processed,Met,7
efficientnetb0_0_1749335121452737,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:21,2025-06-07 15:25:21,445.223,Processed,Met,8
resnet18_0_1749335121453509,resnet18,0,resnet18_0,2025-06-07 15:25:21,2025-06-07 15:25:21,448.782,Processed,Met,8
efficientnetb0_0_1749335121452737,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:21,2025-06-07 15:25:21,454.129,Processed,Met,8
resnet18_0_1749335121453509,resnet18,0,resnet18_0,2025-06-07 15:25:21,2025-06-07 15:25:21,457.67,Processed,Met,8
efficientnetb0_0_1749335121452737,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:21,2025-06-07 15:25:21,518.53,Processed,Met,1
resnet18_0_1749335121453509,resnet18,0,resnet18_0,2025-06-07 15:25:22,2025-06-07 15:25:22,520.948,Processed,Met,2
resnet18_0_1749335121953628,resnet18,0,resnet18_0,2025-06-07 15:25:22,2025-06-07 15:25:22,20.829,Processed,Met,6
vit16_0_1749335121953546,vit16,0,vit16_0,2025-06-07 15:25:22,2025-06-07 15:25:22,90.559,Processed,Met,50
efficientnetb0_0_1749335121952844,efficientnetb0,0,efficientnetb0_0,2025-06-07 15:25:22,2025-06-07 15:25:22,813.482,Processed,Met,8
