timestamp,model_name,request_count
2025-06-07 15:24:16,efficientnetb0,2175
2025-06-07 15:24:16,resnet18,2175
2025-06-07 15:24:16,vit16,4375
2025-06-07 15:24:33,efficientnetb0,1
2025-06-07 15:24:33,resnet18,1
2025-06-07 15:24:33,vit16,3
2025-06-07 15:24:34,efficientnetb0,3
2025-06-07 15:24:34,resnet18,3
2025-06-07 15:24:34,vit16,7
2025-06-07 15:24:35,vit16,11
2025-06-07 15:24:35,resnet18,5
2025-06-07 15:24:35,efficientnetb0,5
2025-06-07 15:24:36,efficientnetb0,7
2025-06-07 15:24:36,resnet18,7
2025-06-07 15:24:36,vit16,15
2025-06-07 15:24:37,efficientnetb0,9
2025-06-07 15:24:37,resnet18,9
2025-06-07 15:24:37,vit16,19
2025-06-07 15:24:38,efficientnetb0,11
2025-06-07 15:24:38,resnet18,11
2025-06-07 15:24:38,vit16,23
2025-06-07 15:24:39,vit16,27
2025-06-07 15:24:39,efficientnetb0,13
2025-06-07 15:24:39,resnet18,13
2025-06-07 15:24:40,efficientnetb0,15
2025-06-07 15:24:40,resnet18,15
2025-06-07 15:24:40,vit16,31
2025-06-07 15:24:41,efficientnetb0,17
2025-06-07 15:24:41,resnet18,17
2025-06-07 15:24:41,vit16,35
2025-06-07 15:24:42,vit16,39
2025-06-07 15:24:42,resnet18,19
2025-06-07 15:24:42,efficientnetb0,19
2025-06-07 15:24:43,efficientnetb0,21
2025-06-07 15:24:43,resnet18,21
2025-06-07 15:24:43,vit16,43
2025-06-07 15:24:44,efficientnetb0,23
2025-06-07 15:24:44,resnet18,23
2025-06-07 15:24:44,vit16,47
2025-06-07 15:24:45,resnet18,25
2025-06-07 15:24:45,vit16,51
2025-06-07 15:24:45,efficientnetb0,25
2025-06-07 15:24:46,vit16,55
2025-06-07 15:24:46,efficientnetb0,27
2025-06-07 15:24:46,resnet18,27
2025-06-07 15:24:47,efficientnetb0,29
2025-06-07 15:24:47,resnet18,29
2025-06-07 15:24:47,vit16,59
2025-06-07 15:24:48,efficientnetb0,31
2025-06-07 15:24:48,resnet18,31
2025-06-07 15:24:48,vit16,63
2025-06-07 15:24:49,resnet18,33
2025-06-07 15:24:49,vit16,67
2025-06-07 15:24:49,efficientnetb0,33
2025-06-07 15:24:50,efficientnetb0,35
2025-06-07 15:24:50,resnet18,35
2025-06-07 15:24:50,vit16,71
2025-06-07 15:24:51,efficientnetb0,56
2025-06-07 15:24:51,resnet18,56
2025-06-07 15:24:51,vit16,114
2025-06-07 15:24:52,efficientnetb0,20
2025-06-07 15:24:52,resnet18,20
2025-06-07 15:24:52,vit16,40
2025-06-07 15:24:53,vit16,83
2025-06-07 15:24:53,resnet18,41
2025-06-07 15:24:53,efficientnetb0,41
2025-06-07 15:24:54,efficientnetb0,43
2025-06-07 15:24:54,resnet18,43
2025-06-07 15:24:54,vit16,87
