request_id,model_name,gpu_id,batch_id,arrival_time_readable,completion_time_readable,processing_time_us,status,slo_status,request_count
efficientnetb0_0_1749330490596940,efficientnetb0,0,efficientnetb0_0,2025-06-07 14:08:11,2025-06-07 14:08:11,75.02,Processed,Met,20
vit16_0_1749330490099565,vit16,0,vit16_0,2025-06-07 14:08:11,2025-06-07 14:08:11,635.155,Processed,Met,20
vit16_0_1749330490599660,vit16,0,vit16_0,2025-06-07 14:08:11,2025-06-07 14:08:11,135.06,Processed,Met,20
resnet18_0_1749330490599193,resnet18,0,resnet18_0,2025-06-07 14:08:11,2025-06-07 14:08:11,148.644,Processed,Met,20
vit16_0_1749330490599660,vit16,0,vit16_0,2025-06-07 14:08:11,2025-06-07 14:08:11,507.307,Processed,Met,30
resnet18_0_1749330491099301,resnet18,0,resnet18_0,2025-06-07 14:08:11,2025-06-07 14:08:11,19.663,Processed,Met,20
efficientnetb0_0_1749330491097046,efficientnetb0,0,efficientnetb0_0,2025-06-07 14:08:11,2025-06-07 14:08:11,376.479,Processed,Met,20
vit16_0_1749330491099754,vit16,0,vit16_0,2025-06-07 14:08:11,2025-06-07 14:08:11,436.483,Processed,Met,40
resnet18_0_1749330491099301,resnet18,0,resnet18_0,2025-06-07 14:08:11,2025-06-07 14:08:11,461.896,Processed,Met,5
efficientnetb0_0_1749330491597140,efficientnetb0,0,efficientnetb0_0,2025-06-07 14:08:11,2025-06-07 14:08:11,277.545,Processed,Met,20
vit16_0_1749330491599876,vit16,0,vit16_0,2025-06-07 14:08:11,2025-06-07 14:08:11,336.911,Processed,Met,40
resnet18_0_174933049159,resnet18,0,resnet18_0,2025-06-07 14:08:12,2025-06-07 14:08:12,1749155558919.036,Processed,Violated,20
efficientnetb0_0_1749330492097260,efficientnetb0,0,efficientnetb0_0,2025-06-07 14:08:12,2025-06-07 14:08:12,179.035,Processed,Met,20
vit16_0_1749330491599876,vit16,0,vit16_0,2025-06-07 14:08:12,2025-06-07 14:08:12,738.455,Processed,Met,10
vit16_0_1749330492099982,vit16,0,vit16_0,2025-06-07 14:08:12,2025-06-07 14:08:12,238.349,Processed,Met,30
resnet18_0_1749330492099586,resnet18,0,resnet18_0,2025-06-07 14:08:12,2025-06-07 14:08:12,251.81,Processed,Met,20
efficientnetb0_0_1749330492597383,efficientnetb0,0,efficientnetb0_0,2025-06-07 14:08:13,2025-06-07 14:08:13,79.817,Processed,Met,20
vit16_0_1749330492099982,vit16,0,vit16_0,2025-06-07 14:08:13,2025-06-07 14:08:13,639.428,Processed,Met,20
vit16_0_1749330492600104,vit16,0,vit16_0,2025-06-07 14:08:13,2025-06-07 14:08:13,139.306,Processed,Met,20
resnet18_0_1749330492599676,resnet18,0,resnet18_0,2025-06-07 14:08:13,2025-06-07 14:08:13,152.882,Processed,Met,20
vit16_0_1749330492600104,vit16,0,vit16_0,2025-06-07 14:08:13,2025-06-07 14:08:13,513.113,Processed,Met,30
resnet18_0_1749330493099794,resnet18,0,resnet18_0,2025-06-07 14:08:13,2025-06-07 14:08:13,26.253,Processed,Met,20
efficientnetb0_0_1749330493097493,efficientnetb0,0,efficientnetb0_0,2025-06-07 14:08:13,2025-06-07 14:08:13,381.36,Processed,Met,20
