timestamp,model_name,rate
2025-06-07 14:05:41,efficientnetb0,1
2025-06-07 14:05:41,resnet18,1
2025-06-07 14:05:41,vit16,2
2025-06-07 14:05:42,efficientnetb0,3
2025-06-07 14:05:42,resnet18,3
2025-06-07 14:05:42,vit16,6
2025-06-07 14:05:43,efficientnetb0,3
2025-06-07 14:05:43,resnet18,3
2025-06-07 14:05:43,vit16,6
2025-06-07 14:05:44,efficientnetb0,7
2025-06-07 14:05:44,resnet18,7
2025-06-07 14:05:44,vit16,14
2025-06-07 14:05:45,efficientnetb0,9
2025-06-07 14:05:45,resnet18,9
2025-06-07 14:05:45,vit16,18
2025-06-07 14:05:46,efficientnetb0,11
2025-06-07 14:05:46,resnet18,11
2025-06-07 14:05:46,vit16,22
2025-06-07 14:05:47,efficientnetb0,13
2025-06-07 14:05:47,resnet18,13
2025-06-07 14:05:47,vit16,26
2025-06-07 14:05:48,efficientnetb0,15
2025-06-07 14:05:48,resnet18,15
2025-06-07 14:05:48,vit16,30
2025-06-07 14:05:49,efficientnetb0,17
2025-06-07 14:05:49,resnet18,17
2025-06-07 14:05:49,vit16,34
2025-06-07 14:05:50,efficientnetb0,20
2025-06-07 14:05:50,resnet18,20
2025-06-07 14:05:50,vit16,40
2025-06-07 14:05:51,efficientnetb0,22
2025-06-07 14:05:51,resnet18,22
2025-06-07 14:05:51,vit16,44
2025-06-07 14:05:52,efficientnetb0,23
2025-06-07 14:05:52,resnet18,23
2025-06-07 14:05:52,vit16,46
2025-06-07 14:05:53,efficientnetb0,25
2025-06-07 14:05:53,resnet18,25
2025-06-07 14:05:53,vit16,50
2025-06-07 14:05:54,efficientnetb0,27
2025-06-07 14:05:54,resnet18,27
2025-06-07 14:05:54,vit16,54
2025-06-07 14:05:55,efficientnetb0,29
2025-06-07 14:05:55,resnet18,29
2025-06-07 14:05:55,vit16,58
2025-06-07 14:05:56,efficientnetb0,31
2025-06-07 14:05:56,resnet18,31
2025-06-07 14:05:56,vit16,62
2025-06-07 14:05:57,efficientnetb0,33
2025-06-07 14:05:57,resnet18,33
2025-06-07 14:05:57,vit16,66
2025-06-07 14:05:58,efficientnetb0,35
2025-06-07 14:05:58,resnet18,35
2025-06-07 14:05:58,vit16,70
2025-06-07 14:05:59,efficientnetb0,37
2025-06-07 14:05:59,resnet18,37
2025-06-07 14:05:59,vit16,74
2025-06-07 14:06:00,efficientnetb0,39
2025-06-07 14:06:00,resnet18,39
2025-06-07 14:06:00,vit16,78
2025-06-07 14:06:01,efficientnetb0,41
2025-06-07 14:06:01,resnet18,41
2025-06-07 14:06:01,vit16,82
2025-06-07 14:06:02,efficientnetb0,43
2025-06-07 14:06:02,resnet18,43
2025-06-07 14:06:02,vit16,86
2025-06-07 14:06:03,efficientnetb0,45
2025-06-07 14:06:03,resnet18,45
2025-06-07 14:06:03,vit16,90
2025-06-07 14:06:04,efficientnetb0,46
2025-06-07 14:06:04,resnet18,46
2025-06-07 14:06:04,vit16,92
2025-06-07 14:06:05,efficientnetb0,49
2025-06-07 14:06:05,resnet18,49
2025-06-07 14:06:05,vit16,96
2025-06-07 14:06:06,efficientnetb0,50
2025-06-07 14:06:06,resnet18,50
2025-06-07 14:06:06,vit16,100
2025-06-07 14:06:07,efficientnetb0,50
2025-06-07 14:06:07,resnet18,50
2025-06-07 14:06:07,vit16,100
2025-06-07 14:06:08,efficientnetb0,50
2025-06-07 14:06:08,resnet18,50
2025-06-07 14:06:08,vit16,100
2025-06-07 14:06:09,efficientnetb0,50
2025-06-07 14:06:09,resnet18,50
2025-06-07 14:06:09,vit16,100
2025-06-07 14:06:10,efficientnetb0,50
2025-06-07 14:06:10,resnet18,50
2025-06-07 14:06:10,vit16,100
2025-06-07 14:06:11,efficientnetb0,50
2025-06-07 14:06:11,resnet18,50
2025-06-07 14:06:11,vit16,100
2025-06-07 14:06:12,efficientnetb0,50
2025-06-07 14:06:12,resnet18,50
2025-06-07 14:06:12,vit16,100
2025-06-07 14:06:13,efficientnetb0,50
2025-06-07 14:06:13,resnet18,50
2025-06-07 14:06:13,vit16,100
2025-06-07 14:06:14,efficientnetb0,50
2025-06-07 14:06:14,resnet18,50
2025-06-07 14:06:14,vit16,100
2025-06-07 14:06:15,efficientnetb0,50
2025-06-07 14:06:15,resnet18,50
2025-06-07 14:06:15,vit16,100
2025-06-07 14:06:16,efficientnetb0,50
2025-06-07 14:06:16,resnet18,50
2025-06-07 14:06:16,vit16,100
2025-06-07 14:06:17,efficientnetb0,50
2025-06-07 14:06:17,resnet18,50
2025-06-07 14:06:17,vit16,100
2025-06-07 14:06:18,efficientnetb0,50
2025-06-07 14:06:18,resnet18,50
2025-06-07 14:06:18,vit16,100
2025-06-07 14:06:19,efficientnetb0,50
2025-06-07 14:06:19,resnet18,50
2025-06-07 14:06:19,vit16,100
2025-06-07 14:06:20,efficientnetb0,50
2025-06-07 14:06:20,resnet18,50
2025-06-07 14:06:20,vit16,100
2025-06-07 14:06:21,efficientnetb0,50
2025-06-07 14:06:21,resnet18,50
2025-06-07 14:06:21,vit16,100
2025-06-07 14:06:22,efficientnetb0,50
2025-06-07 14:06:22,resnet18,50
2025-06-07 14:06:22,vit16,100
2025-06-07 14:06:23,efficientnetb0,50
2025-06-07 14:06:23,resnet18,50
2025-06-07 14:06:23,vit16,100
2025-06-07 14:06:24,efficientnetb0,50
2025-06-07 14:06:24,resnet18,50
2025-06-07 14:06:24,vit16,100
2025-06-07 14:06:25,efficientnetb0,50
2025-06-07 14:06:25,resnet18,50
2025-06-07 14:06:25,vit16,100
2025-06-07 14:06:26,efficientnetb0,50
2025-06-07 14:06:26,resnet18,50
2025-06-07 14:06:26,vit16,100
2025-06-07 14:06:27,efficientnetb0,50
2025-06-07 14:06:27,resnet18,50
2025-06-07 14:06:27,vit16,100
2025-06-07 14:06:28,efficientnetb0,50
2025-06-07 14:06:28,resnet18,50
2025-06-07 14:06:28,vit16,100
2025-06-07 14:06:29,efficientnetb0,50
2025-06-07 14:06:29,resnet18,50
2025-06-07 14:06:29,vit16,100
2025-06-07 14:06:30,efficientnetb0,50
2025-06-07 14:06:30,resnet18,50
2025-06-07 14:06:30,vit16,100
2025-06-07 14:06:31,efficientnetb0,50
2025-06-07 14:06:31,resnet18,50
2025-06-07 14:06:31,vit16,100
2025-06-07 14:06:32,efficientnetb0,50
2025-06-07 14:06:32,resnet18,50
2025-06-07 14:06:32,vit16,100
2025-06-07 14:06:33,efficientnetb0,50
2025-06-07 14:06:33,resnet18,50
2025-06-07 14:06:33,vit16,100
2025-06-07 14:06:34,efficientnetb0,50
2025-06-07 14:06:34,resnet18,50
2025-06-07 14:06:34,vit16,100
2025-06-07 14:06:35,efficientnetb0,50
2025-06-07 14:06:35,resnet18,50
2025-06-07 14:06:35,vit16,100
2025-06-07 14:06:36,efficientnetb0,50
2025-06-07 14:06:36,resnet,50
2025-06-07 14:06:36,resnet18,50
2025-06-07 14:06:36,vit16,100
2025-06-07 14:06:37,efficientnetb0,50
2025-06-07 14:06:37,resnet,50
2025-06-07 14:06:37,resnet18,50
2025-06-07 14:06:37,vit16,100
2025-06-07 14:06:38,efficientnetb0,50
2025-06-07 14:06:38,resnet,50
2025-06-07 14:06:38,resnet18,50
2025-06-07 14:06:38,vit16,100
2025-06-07 14:06:39,efficientnetb0,50
2025-06-07 14:06:39,resnet,50
2025-06-07 14:06:39,resnet18,50
2025-06-07 14:06:39,vit16,100
2025-06-07 14:06:40,efficientnetb0,50
2025-06-07 14:06:40,resnet,50
2025-06-07 14:06:40,resnet18,50
2025-06-07 14:06:40,vit16,100
2025-06-07 14:06:41,efficientnetb0,50
2025-06-07 14:06:41,resnet,50
2025-06-07 14:06:41,resnet18,50
2025-06-07 14:06:41,vit16,100
2025-06-07 14:06:42,efficientnetb0,50
2025-06-07 14:06:42,resnet,50
2025-06-07 14:06:42,resnet18,50
2025-06-07 14:06:42,vit16,100
2025-06-07 14:06:43,efficientnetb0,50
2025-06-07 14:06:43,resnet,50
2025-06-07 14:06:43,resnet18,50
2025-06-07 14:06:43,vit16,100
2025-06-07 14:06:44,efficientnetb0,50
2025-06-07 14:06:44,resnet,50
2025-06-07 14:06:44,resnet18,50
2025-06-07 14:06:44,vit16,100
2025-06-07 14:06:45,efficientnetb0,50
2025-06-07 14:06:45,resnet,50
2025-06-07 14:06:45,resnet18,50
2025-06-07 14:06:45,vit16,100
2025-06-07 14:06:46,efficientnetb0,50
2025-06-07 14:06:46,resnet,50
2025-06-07 14:06:46,resnet18,50
2025-06-07 14:06:46,vit16,100
2025-06-07 14:06:47,efficientnetb0,50
2025-06-07 14:06:47,resnet,50
2025-06-07 14:06:47,resnet18,50
2025-06-07 14:06:47,vit16,100
2025-06-07 14:06:48,efficientnetb0,50
2025-06-07 14:06:48,resnet,50
2025-06-07 14:06:48,resnet18,50
2025-06-07 14:06:48,vit16,100
2025-06-07 14:06:49,efficientnetb0,50
2025-06-07 14:06:49,resnet,50
2025-06-07 14:06:49,resnet18,50
2025-06-07 14:06:49,vit16,100
2025-06-07 14:06:50,efficientnetb0,50
2025-06-07 14:06:50,resnet,50
2025-06-07 14:06:50,resnet18,50
2025-06-07 14:06:50,vit16,100
2025-06-07 14:06:51,efficientnetb0,50
2025-06-07 14:06:51,resnet,50
2025-06-07 14:06:51,resnet18,50
2025-06-07 14:06:51,vit16,100
2025-06-07 14:06:52,efficientnetb0,50
2025-06-07 14:06:52,resnet,50
