timestamp,model_name,violation_count
2025-06-07 14:05:42,efficientnetb0,1
2025-06-07 14:05:42,resnet18,1
2025-06-07 14:05:42,vit16,3
2025-06-07 14:05:43,efficientnetb0,3
2025-06-07 14:05:43,resnet18,3
2025-06-07 14:05:43,vit16,7
2025-06-07 14:05:44,efficientnetb0,5
2025-06-07 14:05:44,resnet18,5
2025-06-07 14:05:44,vit16,11
2025-06-07 14:05:45,efficientnetb0,7
2025-06-07 14:05:45,resnet18,7
2025-06-07 14:05:45,vit16,15
2025-06-07 14:05:46,vit16,19
2025-06-07 14:05:46,efficientnetb0,9
2025-06-07 14:05:46,resnet18,9
2025-06-07 14:05:47,efficientnetb0,9
2025-06-07 14:05:47,resnet18,11
2025-06-07 14:05:47,vit16,23
2025-06-07 14:05:48,efficientnetb0,14
2025-06-07 14:05:48,resnet18,10
2025-06-07 14:05:48,vit16,7
2025-06-07 14:05:49,vit16,19
2025-06-07 14:05:49,efficientnetb0,4
2025-06-07 14:05:49,resnet18,4
2025-06-07 14:05:50,resnet18,9
2025-06-07 14:05:50,vit16,19
2025-06-07 14:05:50,efficientnetb0,11
2025-06-07 14:05:51,efficientnetb0,6
2025-06-07 14:05:51,resnet18,6
2025-06-07 14:05:51,vit16,27
2025-06-07 14:05:52,efficientnetb0,9
2025-06-07 14:05:52,resnet18,2
2025-06-07 14:05:52,vit16,8
2025-06-07 14:05:53,efficientnetb0,16
2025-06-07 14:05:53,resnet18,23
2025-06-07 14:05:53,vit16,23
2025-06-07 14:05:54,efficientnetb0,11
2025-06-07 14:05:54,vit16,19
2025-06-07 14:05:55,resnet18,13
2025-06-07 14:05:55,vit16,13
2025-06-07 14:05:55,efficientnetb0,13
2025-06-07 14:05:56,efficientnetb0,15
2025-06-07 14:05:56,resnet18,15
2025-06-07 14:05:56,vit16,31
2025-06-07 14:05:57,efficientnetb0,29
2025-06-07 14:05:57,resnet18,24
2025-06-07 14:05:57,vit16,49
2025-06-07 14:05:58,efficientnetb0,6
2025-06-07 14:05:58,resnet18,6
2025-06-07 14:05:58,vit16,12
2025-06-07 14:05:59,resnet18,13
2025-06-07 14:05:59,vit16,5
2025-06-07 14:05:59,efficientnetb0,13
2025-06-07 14:06:00,resnet18,7
2025-06-07 14:06:00,vit16,31
2025-06-07 14:06:00,efficientnetb0,15
2025-06-07 14:06:01,efficientnetb0,26
2025-06-07 14:06:01,resnet18,26
2025-06-07 14:06:01,vit16,32
2025-06-07 14:06:02,efficientnetb0,10
2025-06-07 14:06:02,resnet18,10
2025-06-07 14:06:02,vit16,12
2025-06-07 14:06:03,efficientnetb0,28
2025-06-07 14:06:03,resnet18,43
2025-06-07 14:06:03,vit16,43
2025-06-07 14:06:04,efficientnetb0,15
2025-06-07 14:06:04,resnet18,8
2025-06-07 14:06:04,vit16,15
2025-06-07 14:06:05,vit16,17
2025-06-07 14:06:05,efficientnetb0,17
2025-06-07 14:06:05,resnet18,17
2025-06-07 14:06:06,efficientnetb0,19
2025-06-07 14:06:06,resnet18,19
2025-06-07 14:06:06,vit16,27
2025-06-07 14:06:07,efficientnetb0,41
2025-06-07 14:06:07,resnet18,50
2025-06-07 14:06:07,vit16,70
2025-06-07 14:06:08,efficientnetb0,6
2025-06-07 14:06:09,vit16,12
2025-06-07 14:06:09,efficientnetb0,12
2025-06-07 14:06:09,resnet18,12
2025-06-07 14:06:10,resnet18,12
2025-06-07 14:06:10,efficientnetb0,18
2025-06-07 14:06:11,efficientnetb0,6
2025-06-07 14:06:11,resnet18,12
2025-06-07 14:06:11,vit16,22
2025-06-07 14:06:12,efficientnetb0,17
2025-06-07 14:06:12,resnet18,37
2025-06-07 14:06:12,vit16,74
2025-06-07 14:06:13,efficientnetb0,5
2025-06-07 14:06:14,efficientnetb0,15
2025-06-07 14:06:14,resnet18,10
2025-06-07 14:06:15,efficientnetb0,5
2025-06-07 14:06:15,resnet18,10
2025-06-07 14:06:15,vit16,10
2025-06-07 14:06:16,resnet18,10
2025-06-07 14:06:16,efficientnetb0,15
2025-06-07 14:06:17,efficientnetb0,5
2025-06-07 14:06:17,resnet18,10
2025-06-07 14:06:17,vit16,10
2025-06-07 14:06:18,efficientnetb0,15
2025-06-07 14:06:18,resnet18,10
2025-06-07 14:06:19,efficientnetb0,5
2025-06-07 14:06:19,resnet18,10
2025-06-07 14:06:19,vit16,10
2025-06-07 14:06:20,efficientnetb0,15
2025-06-07 14:06:20,resnet18,10
2025-06-07 14:06:21,resnet18,10
2025-06-07 14:06:21,vit16,10
2025-06-07 14:06:21,efficientnetb0,5
2025-06-07 14:06:22,resnet18,10
2025-06-07 14:06:22,efficientnetb0,15
2025-06-07 14:06:23,efficientnetb0,5
2025-06-07 14:06:23,resnet18,10
2025-06-07 14:06:23,vit16,10
2025-06-07 14:06:24,efficientnetb0,15
2025-06-07 14:06:24,resnet18,10
2025-06-07 14:06:25,efficientnetb0,5
2025-06-07 14:06:25,resnet18,10
2025-06-07 14:06:25,vit16,10
2025-06-07 14:06:26,efficientnetb0,15
2025-06-07 14:06:26,resnet18,10
2025-06-07 14:06:27,resnet18,10
2025-06-07 14:06:27,vit16,10
2025-06-07 14:06:27,efficientnetb0,5
2025-06-07 14:06:28,efficientnetb0,10
2025-06-07 14:06:28,resnet18,10
2025-06-07 14:06:29,efficientnetb0,10
2025-06-07 14:06:29,resnet18,5
2025-06-07 14:06:29,vit16,10
2025-06-07 14:06:30,efficientnetb0,10
2025-06-07 14:06:30,resnet18,10
2025-06-07 14:06:31,efficientnetb0,10
2025-06-07 14:06:31,resnet18,5
2025-06-07 14:06:31,vit16,10
2025-06-07 14:06:32,resnet18,10
2025-06-07 14:06:32,efficientnetb0,10
2025-06-07 14:06:33,resnet18,5
2025-06-07 14:06:33,vit16,10
2025-06-07 14:06:33,efficientnetb0,10
2025-06-07 14:06:34,efficientnetb0,10
2025-06-07 14:06:34,resnet18,10
2025-06-07 14:06:35,efficientnetb0,10
2025-06-07 14:06:35,resnet18,5
2025-06-07 14:06:35,vit16,10
2025-06-07 14:06:36,efficientnetb0,15
2025-06-07 14:06:36,resnet18,15
2025-06-07 14:06:37,efficientnetb0,5
2025-06-07 14:06:37,vit16,10
2025-06-07 14:06:38,efficientnetb0,10
2025-06-07 14:06:38,resnet18,10
2025-06-07 14:06:39,resnet18,5
2025-06-07 14:06:39,vit16,10
2025-06-07 14:06:39,efficientnetb0,10
2025-06-07 14:06:40,efficientnetb0,10
2025-06-07 14:06:40,resnet18,10
2025-06-07 14:06:41,efficientnetb0,15
2025-06-07 14:06:41,resnet18,10
2025-06-07 14:06:41,vit16,10
2025-06-07 14:06:42,efficientnetb0,5
2025-06-07 14:06:42,resnet18,5
2025-06-07 14:06:43,efficientnetb0,10
2025-06-07 14:06:43,resnet18,5
2025-06-07 14:06:43,vit16,10
2025-06-07 14:06:44,resnet18,10
2025-06-07 14:06:44,efficientnetb0,10
2025-06-07 14:06:45,vit16,10
2025-06-07 14:06:45,efficientnetb0,10
2025-06-07 14:06:45,resnet18,5
2025-06-07 14:06:46,efficientnetb0,15
2025-06-07 14:06:46,resnet18,15
2025-06-07 14:06:47,efficientnetb0,5
2025-06-07 14:06:47,resnet18,5
2025-06-07 14:06:47,vit16,10
2025-06-07 14:06:48,efficientnetb0,10
2025-06-07 14:06:48,resnet18,10
2025-06-07 14:06:49,efficientnetb0,10
2025-06-07 14:06:49,resnet18,10
2025-06-07 14:06:49,vit16,10
2025-06-07 14:06:50,resnet18,10
2025-06-07 14:06:50,efficientnetb0,10
2025-06-07 14:06:51,efficientnetb0,5
2025-06-07 14:06:51,resnet18,10
2025-06-07 14:06:52,efficientnetb0,30
2025-06-07 14:06:52,resnet18,30
2025-06-07 14:06:52,vit16,90
2025-06-07 14:06:53,efficientnetb0,10
2025-06-07 14:06:53,vit16,10
2025-06-07 14:06:54,efficientnetb0,10
2025-06-07 14:06:54,resnet18,10
2025-06-07 14:06:55,resnet18,10
2025-06-07 14:06:55,efficientnetb0,10
2025-06-07 14:06:55,vit16,10
2025-06-07 14:06:56,resnet18,10
2025-06-07 14:06:56,efficientnetb0,10
2025-06-07 14:06:57,efficientnetb0,10
2025-06-07 14:06:57,resnet18,10
2025-06-07 14:06:57,vit16,10
2025-06-07 14:06:58,efficientnetb0,10
2025-06-07 14:06:58,resnet18,10
2025-06-07 14:06:59,efficientnetb0,10
2025-06-07 14:06:59,resnet18,10
2025-06-07 14:06:59,vit16,10
2025-06-07 14:07:00,resnet18,10
2025-06-07 14:07:00,efficientnetb0,10
2025-06-07 14:07:01,vit16,10
2025-06-07 14:07:01,efficientnetb0,15
2025-06-07 14:07:01,resnet18,15
2025-06-07 14:07:02,efficientnetb0,5
2025-06-07 14:07:02,resnet18,5
2025-06-07 14:07:03,efficientnetb0,5
2025-06-07 14:07:03,resnet18,10
2025-06-07 14:07:04,resnet18,30
2025-06-07 14:07:04,efficientnetb0,30
2025-06-07 14:07:04,vit16,50
2025-06-07 14:07:05,resnet18,5
2025-06-07 14:07:05,efficientnetb0,10
2025-06-07 14:07:05,vit16,10
2025-06-07 14:07:06,resnet18,10
2025-06-07 14:07:06,efficientnetb0,10
2025-06-07 14:07:07,vit16,10
2025-06-07 14:07:07,resnet18,10
2025-06-07 14:07:07,efficientnetb0,10
2025-06-07 14:07:08,efficientnetb0,10
2025-06-07 14:07:08,resnet18,10
2025-06-07 14:07:09,efficientnetb0,5
2025-06-07 14:07:09,resnet18,10
2025-06-07 14:07:10,efficientnetb0,30
2025-06-07 14:07:10,resnet18,30
2025-06-07 14:07:10,vit16,50
2025-06-07 14:07:11,efficientnetb0,15
2025-06-07 14:07:11,resnet18,5
2025-06-07 14:07:11,vit16,10
2025-06-07 14:07:12,resnet18,5
2025-06-07 14:07:12,efficientnetb0,5
2025-06-07 14:07:13,efficientnetb0,10
2025-06-07 14:07:13,resnet18,10
2025-06-07 14:07:13,vit16,10
2025-06-07 14:07:14,efficientnetb0,10
2025-06-07 14:07:14,resnet18,10
2025-06-07 14:07:15,efficientnetb0,10
2025-06-07 14:07:15,resnet18,10
2025-06-07 14:07:15,vit16,10
2025-06-07 14:07:16,efficientnetb0,10
2025-06-07 14:07:16,resnet18,10
2025-06-07 14:07:17,resnet18,10
2025-06-07 14:07:17,efficientnetb0,10
2025-06-07 14:07:17,vit16,10
2025-06-07 14:07:18,resnet18,10
2025-06-07 14:07:18,efficientnetb0,10
2025-06-07 14:07:19,efficientnetb0,5
2025-06-07 14:07:19,resnet18,10
2025-06-07 14:07:20,efficientnetb0,30
2025-06-07 14:07:20,resnet18,30
2025-06-07 14:07:20,vit16,50
2025-06-07 14:07:21,efficientnetb0,5
2025-06-07 14:07:21,resnet18,5
2025-06-07 14:07:22,efficientnetb0,30
2025-06-07 14:07:22,resnet18,5
2025-06-07 14:07:22,vit16,40
2025-06-07 14:07:23,vit16,10
2025-06-07 14:07:23,efficientnetb0,10
2025-06-07 14:07:24,resnet18,10
2025-06-07 14:07:24,efficientnetb0,10
2025-06-07 14:07:25,efficientnetb0,10
2025-06-07 14:07:25,resnet18,5
2025-06-07 14:07:25,vit16,10
2025-06-07 14:07:26,efficientnetb0,15
2025-06-07 14:07:26,resnet18,15
2025-06-07 14:07:27,efficientnetb0,5
2025-06-07 14:07:27,resnet18,5
2025-06-07 14:07:27,vit16,10
2025-06-07 14:07:28,resnet18,10
2025-06-07 14:07:28,efficientnetb0,10
2025-06-07 14:07:29,resnet18,10
2025-06-07 14:07:29,vit16,10
2025-06-07 14:07:29,efficientnetb0,10
