request_id,model_name,gpu_id,batch_id,arrival_time_readable,completion_time_readable,processing_time_us,status,slo_status,request_count
resnet18_1_1749346184278730,resnet18,1,resnet18_1,2025-06-07 18:29:44,2025-06-07 18:29:44,145.36,Processed,Met,1
vit16_1_1749346184279536,vit16,1,vit16_1,2025-06-07 18:29:44,2025-06-07 18:29:44,156.755,Processed,Met,8
vit16_1_1749346184279536,vit16,1,vit16_1,2025-06-07 18:29:44,2025-06-07 18:29:44,168.91,Processed,Met,8
vit16_1_1749346184279536,vit16,1,vit16_1,2025-06-07 18:29:44,2025-06-07 18:29:44,180.91,Processed,Met,8
vit16_1_1749346184279536,vit16,1,vit16_1,2025-06-07 18:29:44,2025-06-07 18:29:44,186.428,Processed,Met,2
efficientnetb0_0_1749346184278705,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:29:45,2025-06-07 18:29:45,815.188,Processed,Met,8
resnet18_0_1749346184778852,resnet18,0,resnet18_0,2025-06-07 18:29:45,2025-06-07 18:29:45,338.371,Processed,Met,8
vit16_0_1749346184779633,vit16,0,vit16_0,2025-06-07 18:29:45,2025-06-07 18:29:45,349.508,Processed,Met,8
efficientnetb0_0_1749346184778806,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:29:45,2025-06-07 18:29:45,355.084,Processed,Met,8
resnet18_0_1749346184778852,resnet18,0,resnet18_0,2025-06-07 18:29:45,2025-06-07 18:29:45,359.335,Processed,Met,8
vit16_0_1749346184779633,vit16,0,vit16_0,2025-06-07 18:29:45,2025-06-07 18:29:45,370.379,Processed,Met,8
efficientnetb0_0_1749346184778806,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:29:45,2025-06-07 18:29:45,375.927,Processed,Met,8
resnet18_0_1749346184778852,resnet18,0,resnet18_0,2025-06-07 18:29:45,2025-06-07 18:29:45,380.29,Processed,Met,8
vit16_0_1749346184779633,vit16,0,vit16_0,2025-06-07 18:29:45,2025-06-07 18:29:45,391.475,Processed,Met,8
efficientnetb0_0_1749346184778806,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:29:45,2025-06-07 18:29:45,453.513,Processed,Met,1
resnet18_0_1749346184778852,resnet18,0,resnet18_0,2025-06-07 18:29:45,2025-06-07 18:29:45,475.372,Processed,Met,1
