timestamp,model_name,violation_count
2025-06-07 18:27:07,vit16,9
2025-06-07 18:27:09,resnet18,1
2025-06-07 18:27:10,vit16,19
2025-06-07 18:27:12,resnet18,7
2025-06-07 18:27:12,vit16,6
2025-06-07 18:27:13,efficientnetb0,16
2025-06-07 18:27:13,resnet18,8
2025-06-07 18:27:13,vit16,47
2025-06-07 18:27:15,vit16,4
2025-06-07 18:27:17,vit16,16
2025-06-07 18:27:19,vit16,20
2025-06-07 18:27:20,resnet18,15
2025-06-07 18:27:24,vit16,16
2025-06-07 18:27:25,vit16,36
2025-06-07 18:27:26,vit16,18
2025-06-07 18:27:27,vit16,36
2025-06-07 18:27:28,vit16,44
2025-06-07 18:27:29,vit16,36
2025-06-07 18:27:30,vit16,18
2025-06-07 18:27:33,vit16,32
2025-06-07 18:27:34,vit16,36
2025-06-07 18:27:35,vit16,36
2025-06-07 18:27:36,vit16,18
2025-06-07 18:27:37,vit16,44
2025-06-07 18:27:38,vit16,36
2025-06-07 18:27:39,vit16,36
2025-06-07 18:27:42,vit16,6
2025-06-07 18:27:43,vit16,36
2025-06-07 18:27:44,vit16,36
2025-06-07 18:27:45,vit16,36
2025-06-07 18:27:46,vit16,44
2025-06-07 18:27:47,vit16,36
2025-06-07 18:27:48,vit16,18
2025-06-07 18:27:51,vit16,32
2025-06-07 18:27:52,vit16,44
2025-06-07 18:27:53,efficientnetb0,2
2025-06-07 18:27:53,vit16,18
2025-06-07 18:27:55,vit16,4
2025-06-07 18:27:56,vit16,36
2025-06-07 18:27:57,vit16,44
2025-06-07 18:27:58,vit16,18
2025-06-07 18:28:01,vit16,32
2025-06-07 18:28:02,vit16,44
2025-06-07 18:28:03,vit16,18
2025-06-07 18:28:03,efficientnetb0,2
2025-06-07 18:28:05,vit16,4
2025-06-07 18:28:06,vit16,18
2025-06-07 18:28:07,vit16,44
2025-06-07 18:28:08,vit16,18
2025-06-07 18:28:11,vit16,32
2025-06-07 18:28:12,vit16,44
2025-06-07 18:28:13,vit16,36
2025-06-07 18:28:16,vit16,22
2025-06-07 18:28:17,vit16,36
2025-06-07 18:28:18,vit16,36
2025-06-07 18:28:21,vit16,22
2025-06-07 18:28:22,vit16,44
2025-06-07 18:28:23,vit16,18
2025-06-07 18:28:23,efficientnetb0,2
2025-06-07 18:28:25,vit16,4
2025-06-07 18:28:26,vit16,44
2025-06-07 18:28:27,vit16,36
2025-06-07 18:28:30,vit16,22
2025-06-07 18:28:31,vit16,36
2025-06-07 18:28:32,vit16,44
2025-06-07 18:28:33,efficientnetb0,2
2025-06-07 18:28:33,vit16,18
2025-06-07 18:28:36,vit16,32
2025-06-07 18:28:37,vit16,44
2025-06-07 18:28:38,vit16,36
2025-06-07 18:28:41,vit16,22
2025-06-07 18:28:42,vit16,36
2025-06-07 18:28:43,vit16,44
2025-06-07 18:28:44,vit16,18
2025-06-07 18:28:46,vit16,4
2025-06-07 18:28:47,vit16,36
2025-06-07 18:28:48,vit16,44
2025-06-07 18:28:49,vit16,36
2025-06-07 18:28:52,vit16,30
2025-06-07 18:28:53,vit16,36
2025-06-07 18:28:54,vit16,18
2025-06-07 18:28:56,vit16,4
2025-06-07 18:28:57,vit16,36
2025-06-07 18:28:58,vit16,44
2025-06-07 18:28:59,vit16,36
2025-06-07 18:29:02,vit16,22
2025-06-07 18:29:03,vit16,44
2025-06-07 18:29:04,vit16,18
2025-06-07 18:29:06,vit16,4
2025-06-07 18:29:07,vit16,44
2025-06-07 18:29:08,vit16,18
2025-06-07 18:29:10,vit16,4
2025-06-07 18:29:11,vit16,36
2025-06-07 18:29:12,vit16,44
2025-06-07 18:29:15,vit16,30
2025-06-07 18:29:16,vit16,36
2025-06-07 18:29:17,efficientnetb0,2
2025-06-07 18:29:17,vit16,18
2025-06-07 18:29:19,vit16,4
2025-06-07 18:29:20,vit16,44
2025-06-07 18:29:21,efficientnetb0,2
2025-06-07 18:29:21,vit16,18
2025-06-07 18:29:23,vit16,4
2025-06-07 18:29:24,vit16,36
2025-06-07 18:29:25,vit16,44
2025-06-07 18:29:28,vit16,14
2025-06-07 18:29:29,vit16,36
2025-06-07 18:29:30,vit16,44
2025-06-07 18:29:33,vit16,30
2025-06-07 18:29:34,vit16,36
2025-06-07 18:29:35,efficientnetb0,2
2025-06-07 18:29:35,vit16,18
2025-06-07 18:29:37,vit16,4
2025-06-07 18:29:38,vit16,44
2025-06-07 18:29:39,vit16,36
2025-06-07 18:29:42,vit16,30
2025-06-07 18:29:43,vit16,36
2025-06-07 18:29:46,vit16,14
2025-06-07 18:29:47,vit16,36
2025-06-07 18:29:48,vit16,44
2025-06-07 18:29:51,vit16,22
2025-06-07 18:29:52,vit16,18
