request_id,model_name,gpu_id,batch_id,arrival_time_readable,completion_time_readable,processing_time_us,status,slo_status,request_count
efficientnetb0_0_1749356336096193,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:18:56,2025-06-07 21:18:56,437.013,Processed,Met,8
vit16_0_1749356336096548,vit16,0,vit16_0,2025-06-07 21:18:56,2025-06-07 21:18:56,450.967,Processed,Met,8
vit16_0_1749356336096548,vit16,0,vit16_0,2025-06-07 21:18:56,2025-06-07 21:18:56,470.456,Processed,Met,12
efficientnetb0_0_1749356336096193,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:18:56,2025-06-07 21:18:56,529.887,Processed,Met,1
vit16_0_1749356336096548,vit16,0,vit16_0,2025-06-07 21:18:56,2025-06-07 21:18:56,542.01,Processed,Met,8
vit16_0_1749356336096548,vit16,0,vit16_0,2025-06-07 21:18:56,2025-06-07 21:18:56,560.818,Processed,Met,12
efficientnetb0_1_1749356335596069,efficientnetb0,1,efficientnetb0_1,2025-06-07 21:18:57,2025-06-07 21:18:57,1098.158,Processed,Met,8
vit16_1_1749356336596661,vit16,1,vit16_1,2025-06-07 21:18:57,2025-06-07 21:18:57,111.425,Processed,Met,8
efficientnetb0_0_1749356336596311,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:18:57,2025-06-07 21:18:57,891.426,Processed,Met,8
vit16_0_1749356336596661,vit16,0,vit16_0,2025-06-07 21:18:57,2025-06-07 21:18:57,904.712,Processed,Met,8
vit16_0_1749356336596661,vit16,0,vit16_0,2025-06-07 21:18:57,2025-06-07 21:18:57,923.658,Processed,Met,12
efficientnetb0_0_1749356337096446,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:18:57,2025-06-07 21:18:57,428.836,Processed,Met,8
vit16_0_1749356336596661,vit16,0,vit16_0,2025-06-07 21:18:57,2025-06-07 21:18:57,942.971,Processed,Met,8
vit16_0_1749356336596661,vit16,0,vit16_0,2025-06-07 21:18:57,2025-06-07 21:18:57,962.438,Processed,Met,12
efficientnetb0_0_1749356337096446,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:18:57,2025-06-07 21:18:57,467.575,Processed,Met,8
vit16_0_1749356336596661,vit16,0,vit16_0,2025-06-07 21:18:57,2025-06-07 21:18:57,981.831,Processed,Met,2
vit16_0_1749356337096783,vit16,0,vit16_0,2025-06-07 21:18:57,2025-06-07 21:18:57,481.709,Processed,Met,6
efficientnetb0_1_1749356336596311,efficientnetb0,1,efficientnetb0_1,2025-06-07 21:18:57,2025-06-07 21:18:57,999.77,Processed,Met,16
vit16_0_1749356337096783,vit16,0,vit16_0,2025-06-07 21:18:57,2025-06-07 21:18:57,501.207,Processed,Met,12
efficientnetb0_0_1749356337096446,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:18:57,2025-06-07 21:18:57,506.485,Processed,Met,1
efficientnetb0_0_1749356337596559,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:18:57,2025-06-07 21:18:57,6.372,Processed,Met,7
vit16_0_1749356337096783,vit16,0,vit16_0,2025-06-07 21:18:57,2025-06-07 21:18:57,520.636,Processed,Met,8
