timestamp,model_name,rate
2025-06-07 21:16:13,efficientnetb0,2
2025-06-07 21:16:13,resnet18,2
2025-06-07 21:16:13,vit16,4
2025-06-07 21:16:14,efficientnetb0,4
2025-06-07 21:16:14,resnet18,4
2025-06-07 21:16:14,vit16,8
2025-06-07 21:16:15,efficientnetb0,4
2025-06-07 21:16:15,resnet18,4
2025-06-07 21:16:15,vit16,8
2025-06-07 21:16:16,efficientnetb0,6
2025-06-07 21:16:16,resnet18,6
2025-06-07 21:16:16,vit16,12
2025-06-07 21:16:17,efficientnetb0,9
2025-06-07 21:16:17,resnet18,9
2025-06-07 21:16:17,vit16,18
2025-06-07 21:16:18,efficientnetb0,12
2025-06-07 21:16:18,resnet18,12
2025-06-07 21:16:18,vit16,24
2025-06-07 21:16:19,efficientnetb0,14
2025-06-07 21:16:19,resnet18,14
2025-06-07 21:16:19,vit16,28
2025-06-07 21:16:20,efficientnetb0,16
2025-06-07 21:16:20,resnet18,16
2025-06-07 21:16:20,vit16,32
2025-06-07 21:16:21,efficientnetb0,18
2025-06-07 21:16:21,resnet18,18
2025-06-07 21:16:21,vit16,36
2025-06-07 21:16:22,efficientnetb0,20
2025-06-07 21:16:22,resnet18,20
2025-06-07 21:16:22,vit16,40
2025-06-07 21:16:23,efficientnetb0,22
2025-06-07 21:16:23,resnet18,22
2025-06-07 21:16:23,vit16,44
2025-06-07 21:16:24,efficientnetb0,24
2025-06-07 21:16:24,resnet18,24
2025-06-07 21:16:24,vit16,48
2025-06-07 21:16:25,efficientnetb0,26
2025-06-07 21:16:25,resnet18,26
2025-06-07 21:16:25,vit16,52
2025-06-07 21:16:26,efficientnetb0,28
2025-06-07 21:16:26,resnet18,28
2025-06-07 21:16:26,vit16,56
2025-06-07 21:16:27,efficientnetb0,30
2025-06-07 21:16:27,resnet18,30
2025-06-07 21:16:27,vit16,60
2025-06-07 21:16:28,efficientnetb0,32
2025-06-07 21:16:28,resnet18,32
2025-06-07 21:16:28,vit16,64
2025-06-07 21:16:29,efficientnetb0,33
2025-06-07 21:16:29,resnet18,33
2025-06-07 21:16:29,vit16,66
2025-06-07 21:16:30,efficientnetb0,35
2025-06-07 21:16:30,resnet18,35
2025-06-07 21:16:30,vit16,70
2025-06-07 21:16:31,efficientnetb0,37
2025-06-07 21:16:31,resnet18,37
2025-06-07 21:16:31,vit16,74
2025-06-07 21:16:32,efficientnetb0,39
2025-06-07 21:16:32,resnet18,39
2025-06-07 21:16:32,vit16,78
2025-06-07 21:16:33,efficientnetb0,42
2025-06-07 21:16:33,resnet18,42
2025-06-07 21:16:33,vit16,84
2025-06-07 21:16:34,efficientnetb0,44
2025-06-07 21:16:34,resnet18,44
2025-06-07 21:16:34,vit16,88
2025-06-07 21:16:35,efficientnetb0,46
2025-06-07 21:16:35,resnet18,46
2025-06-07 21:16:35,vit16,92
2025-06-07 21:16:36,efficientnetb0,48
2025-06-07 21:16:36,resnet18,48
2025-06-07 21:16:36,vit16,96
2025-06-07 21:16:37,efficientnetb0,50
2025-06-07 21:16:37,resnet18,50
2025-06-07 21:16:37,vit16,100
2025-06-07 21:16:38,efficientnetb0,50
2025-06-07 21:16:38,resnet18,50
2025-06-07 21:16:38,vit16,100
2025-06-07 21:16:39,efficientnetb0,50
2025-06-07 21:16:39,resnet18,50
2025-06-07 21:16:39,vit16,100
2025-06-07 21:16:40,efficientnetb0,50
2025-06-07 21:16:40,resnet18,50
2025-06-07 21:16:40,vit16,100
2025-06-07 21:16:41,efficientnetb0,50
2025-06-07 21:16:41,resnet18,50
2025-06-07 21:16:41,vit16,100
2025-06-07 21:16:42,efficientnetb0,50
2025-06-07 21:16:42,resnet18,50
2025-06-07 21:16:42,vit16,100
2025-06-07 21:16:43,efficientnetb0,50
2025-06-07 21:16:43,resnet18,50
2025-06-07 21:16:43,vit16,100
2025-06-07 21:16:44,efficientnetb0,50
2025-06-07 21:16:44,resnet18,50
2025-06-07 21:16:44,vit16,100
2025-06-07 21:16:45,efficientnetb0,50
2025-06-07 21:16:45,resnet18,50
2025-06-07 21:16:45,vit16,100
2025-06-07 21:16:46,efficientnetb0,50
2025-06-07 21:16:46,resnet18,50
2025-06-07 21:16:46,vit16,100
2025-06-07 21:16:47,efficientnetb0,50
2025-06-07 21:16:47,resnet18,50
2025-06-07 21:16:47,vit16,100
2025-06-07 21:16:48,efficientnetb0,50
2025-06-07 21:16:48,resnet18,50
2025-06-07 21:16:48,vit16,100
2025-06-07 21:16:49,efficientnetb0,50
2025-06-07 21:16:49,resnet18,50
2025-06-07 21:16:49,vit16,100
2025-06-07 21:16:50,efficientnetb0,50
2025-06-07 21:16:50,resnet18,50
2025-06-07 21:16:50,vit16,100
2025-06-07 21:16:51,efficientnetb0,50
2025-06-07 21:16:51,resnet18,50
2025-06-07 21:16:51,vit16,100
2025-06-07 21:16:52,efficientnetb0,50
2025-06-07 21:16:52,resnet18,50
2025-06-07 21:16:52,vit16,100
2025-06-07 21:16:53,efficientnetb0,50
2025-06-07 21:16:53,resnet18,50
2025-06-07 21:16:53,vit16,100
2025-06-07 21:16:54,efficientnetb0,50
2025-06-07 21:16:54,resnet18,50
2025-06-07 21:16:54,vit16,100
2025-06-07 21:16:55,efficientnetb0,50
2025-06-07 21:16:55,resnet18,50
2025-06-07 21:16:55,vit16,100
2025-06-07 21:16:56,efficientnetb0,50
2025-06-07 21:16:56,resnet18,50
2025-06-07 21:16:56,vit16,100
2025-06-07 21:16:57,efficientnetb0,50
2025-06-07 21:16:57,resnet18,50
2025-06-07 21:16:57,vit16,100
2025-06-07 21:16:58,efficientnetb0,50
2025-06-07 21:16:58,resnet18,50
2025-06-07 21:16:58,vit16,100
2025-06-07 21:16:59,efficientnetb0,50
2025-06-07 21:16:59,resnet18,50
2025-06-07 21:16:59,vit16,100
2025-06-07 21:17:00,efficientnetb0,50
2025-06-07 21:17:00,resnet18,50
2025-06-07 21:17:00,vit16,100
2025-06-07 21:17:01,efficientnetb0,50
2025-06-07 21:17:01,resnet18,50
2025-06-07 21:17:01,vit16,100
2025-06-07 21:17:02,efficientnetb0,50
2025-06-07 21:17:02,resnet18,50
2025-06-07 21:17:02,vit16,100
2025-06-07 21:17:03,efficientnetb0,50
2025-06-07 21:17:03,resnet18,50
2025-06-07 21:17:03,vit16,100
2025-06-07 21:17:04,effic,50
2025-06-07 21:17:04,efficientnetb0,50
2025-06-07 21:17:04,resnet18,50
2025-06-07 21:17:04,vit16,100
2025-06-07 21:17:05,effic,50
2025-06-07 21:17:05,efficientnetb0,50
2025-06-07 21:17:05,resnet18,50
2025-06-07 21:17:05,vit16,100
2025-06-07 21:17:06,effic,50
2025-06-07 21:17:06,efficientnetb0,50
2025-06-07 21:17:06,resnet18,50
2025-06-07 21:17:06,vit16,100
2025-06-07 21:17:07,effic,50
2025-06-07 21:17:07,efficientnetb0,50
2025-06-07 21:17:07,resnet18,50
2025-06-07 21:17:07,vit16,100
2025-06-07 21:17:08,effic,50
2025-06-07 21:17:08,efficientnetb0,50
2025-06-07 21:17:08,resnet18,50
2025-06-07 21:17:08,vit16,100
2025-06-07 21:17:09,effic,50
2025-06-07 21:17:09,efficientnetb0,50
2025-06-07 21:17:09,resnet18,50
2025-06-07 21:17:09,vit16,100
2025-06-07 21:17:10,effic,50
2025-06-07 21:17:10,efficientnetb0,50
2025-06-07 21:17:10,resnet18,50
