request_id,model_name,gpu_id,batch_id,arrival_time_readable,completion_time_readable,processing_time_us,status,slo_status,request_count
vit16_0_1749346413957249,vit16,0,vit16_0,2025-06-07 18:33:35,2025-06-07 18:33:35,720.06,Processed,Met,50
vit16_0_1749346414457346,vit16,0,vit16_0,2025-06-07 18:33:35,2025-06-07 18:33:35,219.963,Processed,Met,10
efficientnetb0_0_1749346414456586,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:33:35,2025-06-07 18:33:35,240.945,Processed,Met,25
resnet18_0_1749346414457204,resnet18,0,resnet18_0,2025-06-07 18:33:35,2025-06-07 18:33:35,270.594,Processed,Met,20
vit16_0_1749346414457346,vit16,0,vit16_0,2025-06-07 18:33:35,2025-06-07 18:33:35,815.677,Processed,Met,40
vit16_0_1749346414957466,vit16,0,vit16_0,2025-06-07 18:33:35,2025-06-07 18:33:35,315.557,Processed,Met,20
efficientnetb0_0_1749346414956708,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:33:35,2025-06-07 18:33:35,336.267,Processed,Met,25
resnet18_0_1749346414957348,resnet18,0,resnet18_0,2025-06-07 18:33:35,2025-06-07 18:33:35,367.524,Processed,Met,25
vit16_0_1749346414957466,vit16,0,vit16_0,2025-06-07 18:33:36,2025-06-07 18:33:36,916.779,Processed,Met,30
vit16_0_1749346415457549,vit16,0,vit16_0,2025-06-07 18:33:36,2025-06-07 18:33:36,416.696,Processed,Met,30
efficientnetb0_0_1749346415456804,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:33:36,2025-06-07 18:33:36,437.727,Processed,Met,25
resnet18_0_1749346415457466,resnet18,0,resnet18_0,2025-06-07 18:33:36,2025-06-07 18:33:36,451.21,Processed,Met,25
vit16_0_1749346415957640,vit16,0,vit16_0,2025-06-07 18:33:36,2025-06-07 18:33:36,503.839,Processed,Met,50
efficientnetb0_0_1749346415956902,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:33:37,2025-06-07 18:33:37,1255.741,Processed,Met,25
efficientnetb0_0_1749346416457029,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:33:37,2025-06-07 18:33:37,755.614,Processed,Met,5
resnet18_0_1749346416957920,resnet18,0,resnet18_0,2025-06-07 18:33:37,2025-06-07 18:33:37,268.278,Processed,Met,25
vit16_0_1749346416457780,vit16,0,vit16_0,2025-06-07 18:33:37,2025-06-07 18:33:37,858.836,Processed,Met,50
vit16_0_1749346416957880,vit16,0,vit16_0,2025-06-07 18:33:37,2025-06-07 18:33:37,358.736,Processed,Met,10
efficientnetb0_0_1749346416957125,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:33:38,2025-06-07 18:33:38,1107.8,Processed,Met,25
resnet18_0_1749346417458028,resnet18,0,resnet18_0,2025-06-07 18:33:38,2025-06-07 18:33:38,636.907,Processed,Met,25
resnet18_0_1749346417958135,resnet18,0,resnet18_0,2025-06-07 18:33:38,2025-06-07 18:33:38,136.8,Processed,Met,5
vit16_0_1749346417457997,vit16,0,vit16_0,2025-06-07 18:33:38,2025-06-07 18:33:38,725.946,Processed,Met,50
vit16_0_1749346417958083,vit16,0,vit16_0,2025-06-07 18:33:38,2025-06-07 18:33:38,225.86,Processed,Met,10
efficientnetb0_0_1749346417957344,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:33:38,2025-06-07 18:33:38,246.487,Processed,Met,25
resnet18_0_1749346417958135,resnet18,0,resnet18_0,2025-06-07 18:33:38,2025-06-07 18:33:38,275.944,Processed,Met,20
vit16_0_1749346417958083,vit16,0,vit16_0,2025-06-07 18:33:39,2025-06-07 18:33:39,821.546,Processed,Met,40
vit16_0_1749346418458194,vit16,0,vit16_0,2025-06-07 18:33:39,2025-06-07 18:33:39,321.435,Processed,Met,20
efficientnetb0_0_1749346418457470,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:33:39,2025-06-07 18:33:39,342.214,Processed,Met,25
resnet18_0_1749346418458235,resnet18,0,resnet18_0,2025-06-07 18:33:39,2025-06-07 18:33:39,372.685,Processed,Met,25
vit16_0_1749346418458194,vit16,0,vit16_0,2025-06-07 18:33:39,2025-06-07 18:33:39,922.486,Processed,Met,30
vit16_0_1749346418958364,vit16,0,vit16_0,2025-06-07 18:33:39,2025-06-07 18:33:39,422.316,Processed,Met,30
efficientnetb0_0_1749346418957565,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:33:39,2025-06-07 18:33:39,443.123,Processed,Met,25
resnet18_0_1749346418958389,resnet18,0,resnet18_0,2025-06-07 18:33:39,2025-06-07 18:33:39,456.254,Processed,Met,25
vit16_0_1749346419458444,vit16,0,vit16_0,2025-06-07 18:33:40,2025-06-07 18:33:40,509.268,Processed,Met,50
efficientnetb0_0_1749346419457657,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:33:40,2025-06-07 18:33:40,1251.33,Processed,Met,25
efficientnetb0_0_1749346419957774,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:33:40,2025-06-07 18:33:40,751.213,Processed,Met,5
resnet18_0_1749346420458698,resnet18,0,resnet18_0,2025-06-07 18:33:40,2025-06-07 18:33:40,263.563,Processed,Met,25
vit16_0_1749346419958551,vit16,0,vit16_0,2025-06-07 18:33:40,2025-06-07 18:33:40,854.062,Processed,Met,50
vit16_0_1749346420458638,vit16,0,vit16_0,2025-06-07 18:33:40,2025-06-07 18:33:40,353.975,Processed,Met,10
efficientnetb0_0_1749346420457896,efficientnetb0,0,efficientnetb0_0,2025-06-07 18:33:41,2025-06-07 18:33:41,1100.023,Processed,Met,25
