request_id,model_name,gpu_id,batch_id,arrival_time_readable,completion_time_readable,processing_time_us,status,slo_status,request_count
vit16_1_1749355883071036,vit16,1,vit16_1,2025-06-07 21:11:23,2025-06-07 21:11:23,629.335,Processed,Met,8
resnet18_1_1749355883571735,resnet18,1,resnet18_1,2025-06-07 21:11:23,2025-06-07 21:11:23,150.493,Processed,Met,2
vit16_1_1749355883071036,vit16,1,vit16_1,2025-06-07 21:11:23,2025-06-07 21:11:23,663.519,Processed,Met,8
vit16_1_1749355883071036,vit16,1,vit16_1,2025-06-07 21:11:23,2025-06-07 21:11:23,675.589,Processed,Met,2
vit16_1_1749355883571137,vit16,1,vit16_1,2025-06-07 21:11:23,2025-06-07 21:11:23,175.488,Processed,Met,6
vit16_1_1749355883571137,vit16,1,vit16_1,2025-06-07 21:11:23,2025-06-07 21:11:23,187.495,Processed,Met,8
vit16_1_1749355883571137,vit16,1,vit16_1,2025-06-07 21:11:24,2025-06-07 21:11:24,200.165,Processed,Met,8
vit16_1_1749355883571137,vit16,1,vit16_1,2025-06-07 21:11:24,2025-06-07 21:11:24,212.847,Processed,Met,8
vit16_1_1749355883571137,vit16,1,vit16_1,2025-06-07 21:11:24,2025-06-07 21:11:24,225.525,Processed,Met,8
vit16_1_1749355883571137,vit16,1,vit16_1,2025-06-07 21:11:24,2025-06-07 21:11:24,238.251,Processed,Met,8
vit16_1_1749355883571137,vit16,1,vit16_1,2025-06-07 21:11:24,2025-06-07 21:11:24,246.217,Processed,Met,4
efficientnetb0_0_1749355883071541,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:11:24,2025-06-07 21:11:24,995.695,Processed,Met,8
vit16_0_1749355884071235,vit16,0,vit16_0,2025-06-07 21:11:24,2025-06-07 21:11:24,11.834,Processed,Met,8
vit16_1_1749355884071235,vit16,1,vit16_1,2025-06-07 21:11:24,2025-06-07 21:11:24,12.831,Processed,Met,8
efficientnetb0_0_1749355884071794,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:11:24,2025-06-07 21:11:24,16.102,Processed,Met,8
resnet18_0_1749355884071867,resnet18,0,resnet18_0,2025-06-07 21:11:24,2025-06-07 21:11:24,20.864,Processed,Met,8
vit16_0_1749355884071235,vit16,0,vit16_0,2025-06-07 21:11:24,2025-06-07 21:11:24,34.785,Processed,Met,8
resnet18_0_1749355884071867,resnet18,0,resnet18_0,2025-06-07 21:11:24,2025-06-07 21:11:24,37.675,Processed,Met,8
vit16_0_1749355884071235,vit16,0,vit16_0,2025-06-07 21:11:24,2025-06-07 21:11:24,51.586,Processed,Met,8
resnet18_0_1749355884071867,resnet18,0,resnet18_0,2025-06-07 21:11:24,2025-06-07 21:11:24,54.413,Processed,Met,8
vit16_0_1749355884071235,vit16,0,vit16_0,2025-06-07 21:11:24,2025-06-07 21:11:24,68.343,Processed,Met,8
resnet18_0_1749355884071867,resnet18,0,resnet18_0,2025-06-07 21:11:24,2025-06-07 21:11:24,90.566,Processed,Met,1
vit16_0_1749355884071235,vit16,0,vit16_0,2025-06-07 21:11:24,2025-06-07 21:11:24,103.514,Processed,Met,8
vit16_0_1749355884071235,vit16,0,vit16_0,2025-06-07 21:11:24,2025-06-07 21:11:24,108.897,Processed,Met,2
efficientnetb0_1_1749355884071794,efficientnetb0,1,efficientnetb0_1,2025-06-07 21:11:24,2025-06-07 21:11:24,242.823,Processed,Met,4
vit16_0_1749355884571325,vit16,0,vit16_0,2025-06-07 21:11:24,2025-06-07 21:11:24,12.919,Processed,Met,8
efficientnetb0_0_1749355884571945,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:11:24,2025-06-07 21:11:24,336.264,Processed,Met,4
resnet18_0_1749355884571984,resnet18,0,resnet18_0,2025-06-07 21:11:24,2025-06-07 21:11:24,358.789,Processed,Met,8
vit16_0_1749355884571325,vit16,0,vit16_0,2025-06-07 21:11:24,2025-06-07 21:11:24,372.45,Processed,Met,8
resnet18_0_1749355884571984,resnet18,0,resnet18_0,2025-06-07 21:11:24,2025-06-07 21:11:24,375.288,Processed,Met,8
vit16_0_1749355884571325,vit16,0,vit16_0,2025-06-07 21:11:24,2025-06-07 21:11:24,389.093,Processed,Met,8
resnet18_0_1749355884571984,resnet18,0,resnet18_0,2025-06-07 21:11:24,2025-06-07 21:11:24,392.132,Processed,Met,8
vit16_0_1749355884571325,vit16,0,vit16_0,2025-06-07 21:11:24,2025-06-07 21:11:24,406.155,Processed,Met,8
resnet18_0_1749355884571984,resnet18,0,resnet18_0,2025-06-07 21:11:25,2025-06-07 21:11:25,430.629,Processed,Met,1
vit16_0_1749355884571325,vit16,0,vit16_0,2025-06-07 21:11:25,2025-06-07 21:11:25,443.627,Processed,Met,8
vit16_0_1749355884571325,vit16,0,vit16_0,2025-06-07 21:11:25,2025-06-07 21:11:25,448.951,Processed,Met,2
vit16_0_1749355885071429,vit16,0,vit16_0,2025-06-07 21:11:25,2025-06-07 21:11:25,12.095,Processed,Met,8
