timestamp,model_name,rate
2025-06-07 21:08:38,efficientnetb0,2
2025-06-07 21:08:38,resnet18,2
2025-06-07 21:08:38,vit16,4
2025-06-07 21:08:39,efficientnetb0,2
2025-06-07 21:08:39,resnet18,2
2025-06-07 21:08:39,vit16,4
2025-06-07 21:08:40,efficientnetb0,4
2025-06-07 21:08:40,resnet18,4
2025-06-07 21:08:40,vit16,8
2025-06-07 21:08:41,efficientnetb0,8
2025-06-07 21:08:41,resnet18,7
2025-06-07 21:08:41,vit16,14
2025-06-07 21:08:42,efficientnetb0,10
2025-06-07 21:08:42,resnet18,9
2025-06-07 21:08:42,vit16,18
2025-06-07 21:08:43,efficientnetb0,12
2025-06-07 21:08:43,resnet18,12
2025-06-07 21:08:43,vit16,24
2025-06-07 21:08:44,efficientnetb0,14
2025-06-07 21:08:44,resnet18,14
2025-06-07 21:08:44,vit16,28
2025-06-07 21:08:45,efficientnetb0,16
2025-06-07 21:08:45,resnet18,16
2025-06-07 21:08:45,vit16,32
2025-06-07 21:08:46,efficientnetb0,18
2025-06-07 21:08:46,resnet18,18
2025-06-07 21:08:46,vit16,36
2025-06-07 21:08:47,efficientnetb0,20
2025-06-07 21:08:47,resnet18,20
2025-06-07 21:08:47,vit16,40
2025-06-07 21:08:48,efficientnetb0,22
2025-06-07 21:08:48,resnet18,22
2025-06-07 21:08:48,vit16,44
2025-06-07 21:08:49,efficientnetb0,24
2025-06-07 21:08:49,resnet18,24
2025-06-07 21:08:49,vit16,48
2025-06-07 21:08:50,efficientnetb0,25
2025-06-07 21:08:50,resnet18,25
2025-06-07 21:08:50,vit16,50
2025-06-07 21:08:51,efficientnetb0,27
2025-06-07 21:08:51,resnet18,26
2025-06-07 21:08:51,vit16,52
2025-06-07 21:08:52,efficientnetb0,29
2025-06-07 21:08:52,resnet18,29
2025-06-07 21:08:52,vit16,58
2025-06-07 21:08:53,efficientnetb0,31
2025-06-07 21:08:53,resnet18,31
2025-06-07 21:08:53,vit16,62
2025-06-07 21:08:54,efficientnetb0,34
2025-06-07 21:08:54,resnet18,34
2025-06-07 21:08:54,vit16,68
2025-06-07 21:08:55,efficientnetb0,36
2025-06-07 21:08:55,resnet18,36
2025-06-07 21:08:55,vit16,72
2025-06-07 21:08:56,efficientnetb0,38
2025-06-07 21:08:56,resnet18,38
