timestamp,model_name,violation_count
2025-06-07 21:08:49,efficientnetb0,5
2025-06-07 21:08:49,vit16,11
2025-06-07 21:08:50,vit16,7
2025-06-07 21:08:52,vit16,3
2025-06-07 21:08:53,resnet18,1
2025-06-07 21:08:53,vit16,38
2025-06-07 21:08:57,vit16,25
2025-06-07 21:08:59,resnet18,1
2025-06-07 21:08:59,vit16,35
2025-06-07 21:09:01,resnet18,7
2025-06-07 21:09:01,vit16,14
2025-06-07 21:09:02,vit16,71
2025-06-07 21:09:02,efficientnetb0,16
2025-06-07 21:09:02,resnet18,16
2025-06-07 21:09:04,resnet18,1
2025-06-07 21:09:05,efficientnetb0,25
2025-06-07 21:09:05,resnet18,17
2025-06-07 21:09:05,vit16,38
2025-06-07 21:09:07,resnet18,1
2025-06-07 21:09:08,efficientnetb0,17
2025-06-07 21:09:08,resnet18,17
2025-06-07 21:09:08,vit16,38
2025-06-07 21:09:09,vit16,26
2025-06-07 21:09:11,vit16,36
2025-06-07 21:09:11,resnet18,26
2025-06-07 21:09:12,efficientnetb0,8
2025-06-07 21:09:12,resnet18,17
2025-06-07 21:09:12,vit16,102
2025-06-07 21:09:14,resnet18,1
2025-06-07 21:09:15,efficientnetb0,25
2025-06-07 21:09:15,resnet18,17
2025-06-07 21:09:15,vit16,56
2025-06-07 21:09:16,vit16,8
2025-06-07 21:09:17,resnet18,1
2025-06-07 21:09:18,vit16,38
2025-06-07 21:09:18,resnet18,17
2025-06-07 21:09:18,efficientnetb0,17
2025-06-07 21:09:19,efficientnetb0,3
2025-06-07 21:09:19,vit16,26
2025-06-07 21:09:21,resnet18,26
2025-06-07 21:09:21,vit16,28
2025-06-07 21:09:22,efficientnetb0,7
2025-06-07 21:09:22,resnet18,17
2025-06-07 21:09:22,vit16,102
2025-06-07 21:09:24,resnet18,1
2025-06-07 21:09:25,efficientnetb0,17
2025-06-07 21:09:25,vit16,56
2025-06-07 21:09:27,vit16,8
2025-06-07 21:09:28,efficientnetb0,9
2025-06-07 21:09:28,resnet18,17
2025-06-07 21:09:29,vit16,14
2025-06-07 21:09:30,efficientnetb0,1
2025-06-07 21:09:30,resnet18,25
2025-06-07 21:09:30,vit16,26
2025-06-07 21:09:31,resnet18,17
2025-06-07 21:09:31,vit16,28
2025-06-07 21:09:32,efficientnetb0,1
2025-06-07 21:09:32,vit16,26
2025-06-07 21:09:33,efficientnetb0,8
2025-06-07 21:09:34,resnet18,1
2025-06-07 21:09:35,efficientnetb0,17
2025-06-07 21:09:35,vit16,40
2025-06-07 21:09:36,vit16,20
2025-06-07 21:09:37,vit16,44
2025-06-07 21:09:39,resnet18,1
2025-06-07 21:09:40,resnet18,9
2025-06-07 21:09:40,vit16,52
2025-06-07 21:09:42,efficientnetb0,1
2025-06-07 21:09:42,resnet18,17
2025-06-07 21:09:42,vit16,34
2025-06-07 21:09:44,resnet18,1
2025-06-07 21:09:45,vit16,36
2025-06-07 21:09:45,efficientnetb0,9
2025-06-07 21:09:46,vit16,6
2025-06-07 21:09:47,efficientnetb0,6
2025-06-07 21:09:47,vit16,52
2025-06-07 21:09:49,resnet18,1
2025-06-07 21:09:50,resnet18,9
2025-06-07 21:09:50,vit16,44
2025-06-07 21:09:52,efficientnetb0,1
2025-06-07 21:09:52,resnet18,17
2025-06-07 21:09:52,vit16,26
2025-06-07 21:09:54,resnet18,1
2025-06-07 21:09:55,vit16,28
2025-06-07 21:09:55,efficientnetb0,9
2025-06-07 21:09:57,efficientnetb0,22
2025-06-07 21:09:57,vit16,12
2025-06-07 21:09:59,resnet18,1
2025-06-07 21:10:00,resnet18,9
2025-06-07 21:10:00,vit16,44
2025-06-07 21:10:02,efficientnetb0,1
2025-06-07 21:10:02,resnet18,17
2025-06-07 21:10:02,vit16,26
2025-06-07 21:10:04,resnet18,1
2025-06-07 21:10:05,vit16,28
2025-06-07 21:10:05,efficientnetb0,9
2025-06-07 21:10:07,efficientnetb0,22
2025-06-07 21:10:07,vit16,12
2025-06-07 21:10:09,resnet18,1
2025-06-07 21:10:10,resnet18,9
2025-06-07 21:10:10,vit16,44
2025-06-07 21:10:12,efficientnetb0,1
2025-06-07 21:10:12,resnet18,17
2025-06-07 21:10:12,vit16,26
2025-06-07 21:10:14,resnet18,1
2025-06-07 21:10:15,resnet18,17
2025-06-07 21:10:15,vit16,30
2025-06-07 21:10:15,efficientnetb0,25
2025-06-07 21:10:17,resnet18,1
2025-06-07 21:10:18,efficientnetb0,17
2025-06-07 21:10:18,resnet18,17
2025-06-07 21:10:18,vit16,38
2025-06-07 21:10:19,vit16,26
2025-06-07 21:10:21,resnet18,26
2025-06-07 21:10:21,vit16,20
2025-06-07 21:10:22,efficientnetb0,7
2025-06-07 21:10:22,resnet18,17
2025-06-07 21:10:22,vit16,102
2025-06-07 21:10:24,resnet18,7
2025-06-07 21:10:25,vit16,46
2025-06-07 21:10:25,efficientnetb0,25
2025-06-07 21:10:25,resnet18,17
2025-06-07 21:10:26,resnet18,2
2025-06-07 21:10:27,efficientnetb0,22
2025-06-07 21:10:27,vit16,12
2025-06-07 21:10:29,resnet18,1
2025-06-07 21:10:30,resnet18,9
2025-06-07 21:10:30,vit16,44
2025-06-07 21:10:32,vit16,26
2025-06-07 21:10:32,efficientnetb0,1
2025-06-07 21:10:32,resnet18,17
2025-06-07 21:10:34,resnet18,1
2025-06-07 21:10:35,efficientnetb0,9
2025-06-07 21:10:35,vit16,28
2025-06-07 21:10:37,efficientnetb0,22
2025-06-07 21:10:37,vit16,12
2025-06-07 21:10:39,resnet18,1
2025-06-07 21:10:40,resnet18,9
2025-06-07 21:10:40,vit16,44
2025-06-07 21:10:42,resnet18,17
2025-06-07 21:10:42,vit16,26
2025-06-07 21:10:42,efficientnetb0,1
2025-06-07 21:10:45,vit16,60
2025-06-07 21:10:45,resnet18,26
2025-06-07 21:10:48,resnet18,26
2025-06-07 21:10:48,vit16,60
2025-06-07 21:10:49,resnet18,9
2025-06-07 21:10:49,vit16,34
2025-06-07 21:10:51,resnet18,9
2025-06-07 21:10:52,resnet18,26
2025-06-07 21:10:52,vit16,94
2025-06-07 21:10:55,resnet18,18
2025-06-07 21:10:55,vit16,60
2025-06-07 21:10:56,vit16,40
2025-06-07 21:10:56,resnet18,17
2025-06-07 21:10:58,resnet18,9
2025-06-07 21:10:59,resnet18,26
2025-06-07 21:10:59,vit16,94
2025-06-07 21:11:02,resnet18,9
2025-06-07 21:11:03,resnet18,26
2025-06-07 21:11:03,vit16,94
2025-06-07 21:11:06,resnet18,26
2025-06-07 21:11:06,vit16,60
2025-06-07 21:11:07,resnet18,1
2025-06-07 21:11:09,resnet18,26
2025-06-07 21:11:09,vit16,60
2025-06-07 21:11:10,resnet18,1
2025-06-07 21:11:12,resnet18,18
2025-06-07 21:11:12,vit16,18
2025-06-07 21:11:13,resnet18,17
2025-06-07 21:11:13,vit16,76
2025-06-07 21:11:15,resnet18,9
