request_id,model_name,gpu_id,batch_id,arrival_time_readable,completion_time_readable,processing_time_us,status,slo_status,request_count
vit16_0_1749362268955560,vit16,0,vit16_0,2025-06-07 22:57:49,2025-06-07 22:57:49,12.741,Processed,Met,8
vit16_0_1749362268955560,vit16,0,vit16_0,2025-06-07 22:57:49,2025-06-07 22:57:49,36.756,Processed,Met,16
vit16_0_1749362268955560,vit16,0,vit16_0,2025-06-07 22:57:49,2025-06-07 22:57:49,60.813,Processed,Met,16
vit16_0_1749362268955560,vit16,0,vit16_0,2025-06-07 22:57:49,2025-06-07 22:57:49,74.298,Processed,Met,8
vit16_0_1749362268955560,vit16,0,vit16_0,2025-06-07 22:57:49,2025-06-07 22:57:49,80.221,Processed,Met,2
efficientnetb0_1_1749362268455649,efficientnetb0,1,efficientnetb0_1,2025-06-07 22:57:49,2025-06-07 22:57:49,755.213,Processed,Met,8
efficientnetb0_1_1749362268955725,efficientnetb0,1,efficientnetb0_1,2025-06-07 22:57:49,2025-06-07 22:57:49,261.404,Processed,Met,8
resnet18_1_1749362268954578,resnet18,1,resnet18_1,2025-06-07 22:57:49,2025-06-07 22:57:49,267.259,Processed,Met,8
efficientnetb0_1_1749362268955725,efficientnetb0,1,efficientnetb0_1,2025-06-07 22:57:49,2025-06-07 22:57:49,271.245,Processed,Met,8
efficientnetb0_1_1749362268955725,efficientnetb0,1,efficientnetb0_1,2025-06-07 22:57:49,2025-06-07 22:57:49,277.16,Processed,Met,8
resnet18_1_1749362268954578,resnet18,1,resnet18_1,2025-06-07 22:57:49,2025-06-07 22:57:49,282.957,Processed,Met,8
efficientnetb0_1_1749362268955725,efficientnetb0,1,efficientnetb0_1,2025-06-07 22:57:49,2025-06-07 22:57:49,340.049,Processed,Met,1
resnet18_1_1749362268954578,resnet18,1,resnet18_1,2025-06-07 22:57:49,2025-06-07 22:57:49,344.738,Processed,Met,8
resnet18_1_1749362268954578,resnet18,1,resnet18_1,2025-06-07 22:57:49,2025-06-07 22:57:49,366.906,Processed,Met,1
vit16_0_1749362269455673,vit16,0,vit16_0,2025-06-07 22:57:49,2025-06-07 22:57:49,12.643,Processed,Met,8
resnet18_1_1749362269454664,resnet18,1,resnet18_1,2025-06-07 22:57:49,2025-06-07 22:57:49,22.723,Processed,Met,8
vit16_0_1749362269455673,vit16,0,vit16_0,2025-06-07 22:57:49,2025-06-07 22:57:49,36.506,Processed,Met,16
vit16_0_1749362269455673,vit16,0,vit16_0,2025-06-07 22:57:49,2025-06-07 22:57:49,60.438,Processed,Met,16
vit16_0_1749362269455673,vit16,0,vit16_0,2025-06-07 22:57:49,2025-06-07 22:57:49,73.894,Processed,Met,8
vit16_0_1749362269455673,vit16,0,vit16_0,2025-06-07 22:57:49,2025-06-07 22:57:49,79.928,Processed,Met,2
vit16_0_1749362269955764,vit16,0,vit16_0,2025-06-07 22:57:50,2025-06-07 22:57:50,12.708,Processed,Met,8
vit16_0_1749362269955764,vit16,0,vit16_0,2025-06-07 22:57:50,2025-06-07 22:57:50,36.405,Processed,Met,16
vit16_0_1749362269955764,vit16,0,vit16_0,2025-06-07 22:57:50,2025-06-07 22:57:50,60.294,Processed,Met,16
vit16_0_1749362269955764,vit16,0,vit16_0,2025-06-07 22:57:50,2025-06-07 22:57:50,73.753,Processed,Met,8
vit16_0_1749362269955764,vit16,0,vit16_0,2025-06-07 22:57:50,2025-06-07 22:57:50,79.792,Processed,Met,2
efficientnetb0_1_1749362269455811,efficientnetb0,1,efficientnetb0_1,2025-06-07 22:57:50,2025-06-07 22:57:50,754.353,Processed,Met,8
efficientnetb0_1_1749362269955900,efficientnetb0,1,efficientnetb0_1,2025-06-07 22:57:50,2025-06-07 22:57:50,260.602,Processed,Met,8
efficientnetb0_1_1749362269955900,efficientnetb0,1,efficientnetb0_1,2025-06-07 22:57:50,2025-06-07 22:57:50,268.922,Processed,Met,8
