timestamp,model_name,rate
2025-06-07 20:53:29,efficientnetb0,1
2025-06-07 20:53:29,resnet18,1
2025-06-07 20:53:29,vit16,2
2025-06-07 20:53:30,efficientnetb0,3
2025-06-07 20:53:30,resnet18,3
2025-06-07 20:53:30,vit16,6
2025-06-07 20:53:31,efficientnetb0,5
2025-06-07 20:53:31,resnet18,5
2025-06-07 20:53:31,vit16,10
2025-06-07 20:53:32,efficientnetb0,7
2025-06-07 20:53:32,resnet18,7
2025-06-07 20:53:32,vit16,14
2025-06-07 20:53:33,efficientnetb0,9
2025-06-07 20:53:33,resnet18,9
2025-06-07 20:53:33,vit16,18
2025-06-07 20:53:34,efficientnetb0,11
2025-06-07 20:53:34,resnet18,11
2025-06-07 20:53:34,vit16,22
2025-06-07 20:53:35,efficientnetb0,13
2025-06-07 20:53:35,resnet18,13
2025-06-07 20:53:35,vit16,26
2025-06-07 20:53:36,efficientnetb0,15
2025-06-07 20:53:36,resnet18,15
2025-06-07 20:53:36,vit16,30
2025-06-07 20:53:37,efficientnetb0,17
2025-06-07 20:53:37,resnet18,17
2025-06-07 20:53:37,vit16,34
2025-06-07 20:53:38,efficientnetb0,18
2025-06-07 20:53:38,resnet18,18
2025-06-07 20:53:38,vit16,36
2025-06-07 20:53:39,efficientnetb0,20
2025-06-07 20:53:39,resnet18,20
2025-06-07 20:53:39,vit16,40
2025-06-07 20:53:40,efficientnetb0,23
2025-06-07 20:53:40,resnet18,23
2025-06-07 20:53:40,vit16,46
2025-06-07 20:53:41,efficientnetb0,25
2025-06-07 20:53:41,resnet18,25
2025-06-07 20:53:41,vit16,50
2025-06-07 20:53:42,efficientnetb0,27
2025-06-07 20:53:42,resnet18,27
2025-06-07 20:53:42,vit16,54
2025-06-07 20:53:43,efficientnetb0,29
2025-06-07 20:53:43,resnet18,29
2025-06-07 20:53:43,vit16,58
2025-06-07 20:53:44,efficientnetb0,31
2025-06-07 20:53:44,resnet18,31
2025-06-07 20:53:44,vit16,62
2025-06-07 20:53:45,efficientnetb0,33
2025-06-07 20:53:45,resnet18,33
2025-06-07 20:53:45,vit16,66
2025-06-07 20:53:46,efficientnetb0,35
2025-06-07 20:53:46,resnet18,35
2025-06-07 20:53:46,vit16,70
2025-06-07 20:53:47,efficientnetb0,37
2025-06-07 20:53:47,resnet18,37
2025-06-07 20:53:47,vit16,74
2025-06-07 20:53:48,efficientnetb0,39
2025-06-07 20:53:48,resnet18,39
2025-06-07 20:53:48,vit16,78
2025-06-07 20:53:49,efficientnetb0,40
2025-06-07 20:53:49,resnet18,40
2025-06-07 20:53:49,vit16,80
2025-06-07 20:53:50,efficientnetb0,42
2025-06-07 20:53:50,resnet18,42
2025-06-07 20:53:50,vit16,84
2025-06-07 20:53:51,efficientnetb0,44
2025-06-07 20:53:51,resnet18,44
2025-06-07 20:53:51,vit16,88
2025-06-07 20:53:52,efficientnetb0,47
2025-06-07 20:53:52,resnet18,47
2025-06-07 20:53:52,vit16,94
2025-06-07 20:53:53,efficientnetb0,49
2025-06-07 20:53:53,resnet18,49
2025-06-07 20:53:53,vit16,98
2025-06-07 20:53:54,efficientnetb0,50
2025-06-07 20:53:54,resnet18,50
2025-06-07 20:53:54,vit16,100
2025-06-07 20:53:55,efficientnetb0,61
2025-06-07 20:53:55,resnet18,50
2025-06-07 20:53:55,vit16,100
2025-06-07 20:53:56,efficientnetb0,69
2025-06-07 20:53:56,resnet18,50
2025-06-07 20:53:56,vit16,100
2025-06-07 20:53:57,efficientnetb0,69
2025-06-07 20:53:57,resnet18,50
2025-06-07 20:53:57,vit16,100
2025-06-07 20:53:58,efficientnetb0,61
2025-06-07 20:53:58,resnet18,50
2025-06-07 20:53:58,vit16,100
2025-06-07 20:53:59,efficientnetb0,50
2025-06-07 20:53:59,resnet18,50
2025-06-07 20:53:59,vit16,100
2025-06-07 20:54:00,efficientnetb0,39
2025-06-07 20:54:00,resnet18,50
2025-06-07 20:54:00,vit16,100
2025-06-07 20:54:01,efficientnetb0,34
2025-06-07 20:54:01,resnet18,50
2025-06-07 20:54:01,vit16,100
2025-06-07 20:54:02,efficientnetb0,30
2025-06-07 20:54:02,resnet18,50
2025-06-07 20:54:02,vit16,100
2025-06-07 20:54:03,efficientnetb0,34
2025-06-07 20:54:03,resnet18,50
2025-06-07 20:54:03,vit16,100
2025-06-07 20:54:04,efficientnetb0,44
2025-06-07 20:54:04,resnet18,50
2025-06-07 20:54:04,vit16,100
2025-06-07 20:54:05,efficientnetb0,61
2025-06-07 20:54:05,resnet18,50
2025-06-07 20:54:05,vit16,100
2025-06-07 20:54:06,efficientnetb0,69
2025-06-07 20:54:06,resnet18,50
2025-06-07 20:54:06,vit16,100
2025-06-07 20:54:07,efficientnetb0,69
2025-06-07 20:54:07,resnet18,50
2025-06-07 20:54:07,vit16,100
2025-06-07 20:54:08,efficientnetb0,61
2025-06-07 20:54:08,resnet18,50
2025-06-07 20:54:08,vit16,100
2025-06-07 20:54:09,efficientnetb0,50
2025-06-07 20:54:09,resnet18,50
2025-06-07 20:54:09,vit16,100
2025-06-07 20:54:10,efficientnetb0,39
2025-06-07 20:54:10,resnet18,50
2025-06-07 20:54:10,vit16,100
2025-06-07 20:54:11,efficientnetb0,31
2025-06-07 20:54:11,resnet18,50
2025-06-07 20:54:11,vit16,100
2025-06-07 20:54:12,efficientnetb0,31
2025-06-07 20:54:12,resnet18,50
2025-06-07 20:54:12,vit16,100
2025-06-07 20:54:13,efficientnetb0,34
2025-06-07 20:54:13,resnet18,50
2025-06-07 20:54:13,vit16,100
2025-06-07 20:54:14,efficientnetb0,44
2025-06-07 20:54:14,resnet18,50
2025-06-07 20:54:14,vit16,100
2025-06-07 20:54:15,efficientnetb0,56
2025-06-07 20:54:15,resnet18,50
2025-06-07 20:54:15,vit16,100
2025-06-07 20:54:16,efficientnetb0,69
2025-06-07 20:54:16,resnet18,50
2025-06-07 20:54:16,vit16,100
2025-06-07 20:54:17,efficientnetb0,69
2025-06-07 20:54:17,resnet18,50
2025-06-07 20:54:17,vit16,100
2025-06-07 20:54:18,efficientnetb0,61
2025-06-07 20:54:18,resnet18,50
2025-06-07 20:54:18,vit16,100
2025-06-07 20:54:19,efficientnetb0,50
2025-06-07 20:54:19,resnet18,50
2025-06-07 20:54:19,vit16,100
2025-06-07 20:54:20,efficientnetb0,39
2025-06-07 20:54:20,resnet18,50
2025-06-07 20:54:20,vit16,100
2025-06-07 20:54:21,efficientnetb0,31
2025-06-07 20:54:21,resnet18,50
2025-06-07 20:54:21,vit16,100
2025-06-07 20:54:22,efficientnetb0,31
2025-06-07 20:54:22,resnet18,50
2025-06-07 20:54:22,vit16,100
2025-06-07 20:54:23,efficientnetb0,31
2025-06-07 20:54:23,resnet18,50
2025-06-07 20:54:23,vit16,100
2025-06-07 20:54:24,efficientnetb0,44
2025-06-07 20:54:24,resnet18,50
2025-06-07 20:54:24,vit16,100
2025-06-07 20:54:25,efficientnetb0,56
2025-06-07 20:54:25,resnet18,50
2025-06-07 20:54:25,vit16,100
2025-06-07 20:54:26,efficientnetb0,66
2025-06-07 20:54:26,resnet18,50
2025-06-07 20:54:26,vit16,100
2025-06-07 20:54:27,efficientnetb0,69
2025-06-07 20:54:27,resnet18,50
2025-06-07 20:54:27,vit16,100
2025-06-07 20:54:28,efficientnetb0,61
2025-06-07 20:54:28,resnet18,50
2025-06-07 20:54:28,vit16,100
2025-06-07 20:54:29,efficientnetb0,50
2025-06-07 20:54:29,resnet18,50
2025-06-07 20:54:29,vit16,100
2025-06-07 20:54:30,efficientnetb0,39
2025-06-07 20:54:30,resnet18,50
2025-06-07 20:54:30,vit16,100
2025-06-07 20:54:31,efficientnetb0,31
2025-06-07 20:54:31,resnet18,50
2025-06-07 20:54:31,vit16,100
2025-06-07 20:54:32,efficientnetb0,31
2025-06-07 20:54:32,resnet18,50
2025-06-07 20:54:32,vit16,100
2025-06-07 20:54:33,efficientnetb0,39
2025-06-07 20:54:33,resnet18,50
2025-06-07 20:54:33,vit16,100
2025-06-07 20:54:34,efficientnetb0,39
2025-06-07 20:54:34,resnet18,50
2025-06-07 20:54:34,vit16,100
2025-06-07 20:54:35,efficientnetb0,50
2025-06-07 20:54:35,resnet18,50
2025-06-07 20:54:35,vit16,100
2025-06-07 20:54:36,efficientnetb0,66
2025-06-07 20:54:36,resnet18,50
2025-06-07 20:54:36,vit16,100
2025-06-07 20:54:37,efficientnetb0,70
2025-06-07 20:54:37,resnet18,50
2025-06-07 20:54:37,vit16,100
2025-06-07 20:54:38,efficientnetb0,61
2025-06-07 20:54:38,resnet18,50
2025-06-07 20:54:38,vit16,100
2025-06-07 20:54:39,efficientnetb0,50
2025-06-07 20:54:39,resnet18,50
2025-06-07 20:54:39,vit16,100
2025-06-07 20:54:40,efficientnetb0,39
2025-06-07 20:54:40,resnet18,50
2025-06-07 20:54:40,vit16,100
2025-06-07 20:54:41,efficientnetb0,31
2025-06-07 20:54:41,resnet18,50
2025-06-07 20:54:41,vit16,100
2025-06-07 20:54:42,efficientnetb0,31
2025-06-07 20:54:42,resnet18,50
2025-06-07 20:54:42,vit16,100
2025-06-07 20:54:43,efficientnetb0,39
2025-06-07 20:54:43,resnet18,50
2025-06-07 20:54:43,vit16,100
2025-06-07 20:54:44,efficientnetb0,50
2025-06-07 20:54:44,resnet18,50
2025-06-07 20:54:44,vit16,100
2025-06-07 20:54:45,efficientnetb0,61
2025-06-07 20:54:45,resnet18,50
2025-06-07 20:54:45,vit16,100
2025-06-07 20:54:46,efficientnetb0,66
2025-06-07 20:54:46,resnet18,50
2025-06-07 20:54:46,vit16,100
2025-06-07 20:54:47,efficientnetb0,70
2025-06-07 20:54:47,resnet18,50
2025-06-07 20:54:47,vit16,100
2025-06-07 20:54:48,efficientnetb0,66
2025-06-07 20:54:48,resnet18,50
