timestamp,model_name,request_count
2025-06-07 22:55:04,vit16,1
2025-06-07 22:55:05,efficientnetb0,2
2025-06-07 22:55:05,resnet18,2
2025-06-07 22:55:05,vit16,5
2025-06-07 22:55:06,efficientnetb0,4
2025-06-07 22:55:06,resnet18,4
2025-06-07 22:55:06,vit16,9
2025-06-07 22:55:07,efficientnetb0,6
2025-06-07 22:55:07,resnet18,6
2025-06-07 22:55:07,vit16,13
2025-06-07 22:55:08,efficientnetb0,8
2025-06-07 22:55:08,resnet18,8
2025-06-07 22:55:08,vit16,17
2025-06-07 22:55:09,resnet18,10
2025-06-07 22:55:09,vit16,21
2025-06-07 22:55:09,efficientnetb0,10
2025-06-07 22:55:10,efficientnetb0,12
2025-06-07 22:55:10,resnet18,12
2025-06-07 22:55:10,vit16,25
2025-06-07 22:55:11,efficientnetb0,22
2025-06-07 22:55:11,resnet18,22
2025-06-07 22:55:11,vit16,45
2025-06-07 22:55:12,resnet18,17
2025-06-07 22:55:12,efficientnetb0,17
2025-06-07 22:55:12,vit16,35
2025-06-07 22:55:13,efficientnetb0,9
2025-06-07 22:55:13,resnet18,9
2025-06-07 22:55:13,vit16,19
2025-06-07 22:55:14,resnet18,20
2025-06-07 22:55:14,vit16,41
2025-06-07 22:55:14,efficientnetb0,20
2025-06-07 22:55:15,vit16,45
2025-06-07 22:55:15,resnet18,22
2025-06-07 22:55:15,efficientnetb0,22
2025-06-07 22:55:16,efficientnetb0,24
2025-06-07 22:55:16,resnet18,24
2025-06-07 22:55:16,vit16,49
2025-06-07 22:55:17,efficientnetb0,26
2025-06-07 22:55:17,resnet18,26
2025-06-07 22:55:17,vit16,53
2025-06-07 22:55:18,efficientnetb0,28
2025-06-07 22:55:18,resnet18,28
2025-06-07 22:55:18,vit16,57
2025-06-07 22:55:19,efficientnetb0,30
2025-06-07 22:55:19,resnet18,30
2025-06-07 22:55:19,vit16,61
2025-06-07 22:55:20,resnet18,49
2025-06-07 22:55:20,vit16,99
2025-06-07 22:55:20,efficientnetb0,49
2025-06-07 22:55:21,efficientnetb0,17
2025-06-07 22:55:21,resnet18,17
2025-06-07 22:55:21,vit16,35
2025-06-07 22:55:22,efficientnetb0,18
2025-06-07 22:55:22,resnet18,36
2025-06-07 22:55:22,vit16,73
2025-06-07 22:55:23,resnet18,38
2025-06-07 22:55:23,efficientnetb0,19
2025-06-07 22:55:23,vit16,77
2025-06-07 22:55:24,efficientnetb0,40
2025-06-07 22:55:24,resnet18,40
2025-06-07 22:55:24,vit16,81
2025-06-07 22:55:25,resnet18,42
2025-06-07 22:55:25,vit16,85
2025-06-07 22:55:25,efficientnetb0,42
2025-06-07 22:55:26,vit16,89
2025-06-07 22:55:26,resnet18,44
2025-06-07 22:55:26,efficientnetb0,44
2025-06-07 22:55:27,efficientnetb0,46
2025-06-07 22:55:27,resnet18,46
2025-06-07 22:55:27,vit16,93
2025-06-07 22:55:28,efficientnetb0,73
2025-06-07 22:55:28,resnet18,73
2025-06-07 22:55:28,vit16,147
2025-06-07 22:55:29,efficientnetb0,25
2025-06-07 22:55:29,resnet18,25
2025-06-07 22:55:29,vit16,50
2025-06-07 22:55:30,efficientnetb0,50
2025-06-07 22:55:30,resnet18,50
2025-06-07 22:55:30,vit16,100
2025-06-07 22:55:31,resnet18,50
2025-06-07 22:55:31,vit16,100
2025-06-07 22:55:31,efficientnetb0,50
2025-06-07 22:55:32,efficientnetb0,50
2025-06-07 22:55:32,resnet18,50
2025-06-07 22:55:32,vit16,100
2025-06-07 22:55:33,efficientnetb0,50
2025-06-07 22:55:33,resnet18,50
2025-06-07 22:55:33,vit16,100
2025-06-07 22:55:34,resnet18,50
2025-06-07 22:55:34,efficientnetb0,50
2025-06-07 22:55:34,vit16,100
2025-06-07 22:55:35,efficientnetb0,50
2025-06-07 22:55:35,resnet18,50
2025-06-07 22:55:35,vit16,100
2025-06-07 22:55:36,resnet18,50
2025-06-07 22:55:36,vit16,100
2025-06-07 22:55:36,efficientnetb0,50
2025-06-07 22:55:37,vit16,100
2025-06-07 22:55:37,resnet18,50
2025-06-07 22:55:37,efficientnetb0,50
2025-06-07 22:55:38,efficientnetb0,50
2025-06-07 22:55:38,resnet18,50
2025-06-07 22:55:38,vit16,100
2025-06-07 22:55:39,efficientnetb0,50
2025-06-07 22:55:39,resnet18,50
2025-06-07 22:55:39,vit16,100
2025-06-07 22:55:40,efficientnetb0,50
2025-06-07 22:55:40,resnet18,50
2025-06-07 22:55:40,vit16,100
2025-06-07 22:55:41,efficientnetb0,50
2025-06-07 22:55:41,resnet18,50
2025-06-07 22:55:41,vit16,100
2025-06-07 22:55:42,resnet18,50
2025-06-07 22:55:42,vit16,100
2025-06-07 22:55:42,efficientnetb0,50
2025-06-07 22:55:43,efficientnetb0,50
2025-06-07 22:55:43,resnet18,50
2025-06-07 22:55:43,vit16,100
2025-06-07 22:55:44,efficientnetb0,50
2025-06-07 22:55:44,resnet18,50
2025-06-07 22:55:44,vit16,100
2025-06-07 22:55:45,resnet18,50
2025-06-07 22:55:45,efficientnetb0,50
2025-06-07 22:55:45,vit16,100
2025-06-07 22:55:46,efficientnetb0,50
2025-06-07 22:55:46,resnet18,50
2025-06-07 22:55:46,vit16,100
2025-06-07 22:55:47,resnet18,50
2025-06-07 22:55:47,vit16,100
2025-06-07 22:55:47,efficientnetb0,50
2025-06-07 22:55:48,resnet18,50
2025-06-07 22:55:48,vit16,100
2025-06-07 22:55:48,efficientnetb0,50
2025-06-07 22:55:49,efficientnetb0,50
2025-06-07 22:55:49,resnet18,50
2025-06-07 22:55:49,vit16,100
2025-06-07 22:55:50,efficientnetb0,50
2025-06-07 22:55:50,resnet18,50
2025-06-07 22:55:50,vit16,100
2025-06-07 22:55:51,efficientnetb0,50
2025-06-07 22:55:51,resnet18,50
2025-06-07 22:55:51,vit16,100
2025-06-07 22:55:52,efficientnetb0,50
2025-06-07 22:55:52,resnet18,50
2025-06-07 22:55:52,vit16,100
2025-06-07 22:55:53,resnet18,50
2025-06-07 22:55:53,vit16,100
2025-06-07 22:55:53,efficientnetb0,50
2025-06-07 22:55:54,efficientnetb0,50
2025-06-07 22:55:54,resnet18,50
2025-06-07 22:55:54,vit16,100
2025-06-07 22:55:55,efficientnetb0,50
2025-06-07 22:55:55,resnet18,50
2025-06-07 22:55:55,vit16,100
2025-06-07 22:55:56,resnet18,50
2025-06-07 22:55:56,efficientnetb0,50
2025-06-07 22:55:56,vit16,100
2025-06-07 22:55:57,efficientnetb0,50
2025-06-07 22:55:57,resnet18,50
2025-06-07 22:55:57,vit16,100
2025-06-07 22:55:58,resnet18,50
2025-06-07 22:55:58,vit16,100
2025-06-07 22:55:58,efficientnetb0,50
2025-06-07 22:55:59,vit16,100
2025-06-07 22:55:59,resnet18,50
2025-06-07 22:55:59,efficientnetb0,50
2025-06-07 22:56:00,efficientnetb0,50
2025-06-07 22:56:00,resnet18,50
2025-06-07 22:56:00,vit16,100
2025-06-07 22:56:01,efficientnetb0,50
2025-06-07 22:56:01,resnet18,50
2025-06-07 22:56:01,vit16,100
2025-06-07 22:56:02,efficientnetb0,50
2025-06-07 22:56:02,resnet18,50
2025-06-07 22:56:02,vit16,100
2025-06-07 22:56:03,efficientnetb0,50
2025-06-07 22:56:03,resnet18,50
2025-06-07 22:56:03,vit16,100
2025-06-07 22:56:04,resnet18,50
2025-06-07 22:56:04,vit16,100
2025-06-07 22:56:04,efficientnetb0,50
2025-06-07 22:56:05,efficientnetb0,50
2025-06-07 22:56:05,resnet18,50
2025-06-07 22:56:05,vit16,100
2025-06-07 22:56:06,efficientnetb0,50
2025-06-07 22:56:06,resnet18,50
2025-06-07 22:56:06,vit16,100
2025-06-07 22:56:07,resnet18,50
2025-06-07 22:56:07,efficientnetb0,50
2025-06-07 22:56:07,vit16,100
2025-06-07 22:56:08,efficientnetb0,50
2025-06-07 22:56:08,resnet18,50
2025-06-07 22:56:08,vit16,100
2025-06-07 22:56:09,resnet18,50
2025-06-07 22:56:09,vit16,100
2025-06-07 22:56:09,efficientnetb0,50
2025-06-07 22:56:10,vit16,100
2025-06-07 22:56:10,resnet18,50
2025-06-07 22:56:10,efficientnetb0,50
2025-06-07 22:56:11,efficientnetb0,50
2025-06-07 22:56:11,resnet18,50
2025-06-07 22:56:11,vit16,100
2025-06-07 22:56:12,efficientnetb0,50
2025-06-07 22:56:12,resnet18,50
2025-06-07 22:56:12,vit16,100
2025-06-07 22:56:13,efficientnetb0,50
2025-06-07 22:56:13,resnet18,50
2025-06-07 22:56:13,vit16,100
2025-06-07 22:56:14,efficientnetb0,50
2025-06-07 22:56:14,resnet18,50
2025-06-07 22:56:14,vit16,100
2025-06-07 22:56:15,resnet18,50
2025-06-07 22:56:15,vit16,100
2025-06-07 22:56:15,efficientnetb0,50
2025-06-07 22:56:16,efficientnetb0,50
2025-06-07 22:56:16,resnet18,50
2025-06-07 22:56:16,vit16,100
2025-06-07 22:56:17,efficientnetb0,50
2025-06-07 22:56:17,resnet18,50
2025-06-07 22:56:17,vit16,100
2025-06-07 22:56:18,resnet18,50
2025-06-07 22:56:18,efficientnetb0,50
2025-06-07 22:56:18,vit16,100
2025-06-07 22:56:19,efficientnetb0,50
2025-06-07 22:56:19,resnet18,50
2025-06-07 22:56:19,vit16,100
2025-06-07 22:56:20,resnet18,50
2025-06-07 22:56:20,vit16,100
2025-06-07 22:56:20,efficientnetb0,50
2025-06-07 22:56:21,vit16,100
2025-06-07 22:56:21,resnet18,50
2025-06-07 22:56:21,efficientnetb0,50
2025-06-07 22:56:22,efficientnetb0,50
2025-06-07 22:56:22,resnet18,50
2025-06-07 22:56:22,vit16,100
2025-06-07 22:56:23,efficientnetb0,50
2025-06-07 22:56:23,resnet18,50
2025-06-07 22:56:23,vit16,100
2025-06-07 22:56:24,efficientnetb0,50
2025-06-07 22:56:24,resnet18,50
2025-06-07 22:56:24,vit16,100
2025-06-07 22:56:25,efficientnetb0,50
2025-06-07 22:56:25,resnet18,50
2025-06-07 22:56:25,vit16,100
2025-06-07 22:56:26,resnet18,50
2025-06-07 22:56:26,vit16,100
2025-06-07 22:56:26,efficientnetb0,50
2025-06-07 22:56:27,efficientnetb0,50
2025-06-07 22:56:27,resnet18,50
2025-06-07 22:56:27,vit16,100
2025-06-07 22:56:28,efficientnetb0,50
2025-06-07 22:56:28,resnet18,50
2025-06-07 22:56:28,vit16,100
2025-06-07 22:56:29,resnet18,50
2025-06-07 22:56:29,efficientnetb0,50
2025-06-07 22:56:29,vit16,100
2025-06-07 22:56:30,efficientnetb0,50
2025-06-07 22:56:30,resnet18,50
2025-06-07 22:56:30,vit16,100
2025-06-07 22:56:31,resnet18,50
2025-06-07 22:56:31,vit16,100
2025-06-07 22:56:31,efficientnetb0,50
2025-06-07 22:56:32,resnet18,50
2025-06-07 22:56:32,vit16,100
2025-06-07 22:56:32,efficientnetb0,50
2025-06-07 22:56:33,vit16,100
2025-06-07 22:56:33,efficientnetb0,50
2025-06-07 22:56:33,resnet18,50
2025-06-07 22:56:34,efficientnetb0,50
2025-06-07 22:56:34,resnet18,50
2025-06-07 22:56:34,vit16,100
2025-06-07 22:56:35,efficientnetb0,50
2025-06-07 22:56:35,resnet18,50
2025-06-07 22:56:35,vit16,100
2025-06-07 22:56:36,efficientnetb0,50
2025-06-07 22:56:36,resnet18,50
2025-06-07 22:56:36,vit16,100
2025-06-07 22:56:37,efficientnetb0,50
2025-06-07 22:56:37,resnet18,50
2025-06-07 22:56:37,vit16,100
2025-06-07 22:56:38,resnet18,50
2025-06-07 22:56:38,vit16,100
2025-06-07 22:56:38,efficientnetb0,50
2025-06-07 22:56:39,efficientnetb0,50
2025-06-07 22:56:39,resnet18,50
2025-06-07 22:56:39,vit16,100
2025-06-07 22:56:40,efficientnetb0,50
2025-06-07 22:56:40,resnet18,50
2025-06-07 22:56:40,vit16,100
2025-06-07 22:56:41,resnet18,50
2025-06-07 22:56:41,efficientnetb0,50
2025-06-07 22:56:41,vit16,100
2025-06-07 22:56:42,efficientnetb0,50
2025-06-07 22:56:42,resnet18,50
2025-06-07 22:56:42,vit16,100
2025-06-07 22:56:43,resnet18,50
2025-06-07 22:56:43,vit16,100
2025-06-07 22:56:43,efficientnetb0,50
2025-06-07 22:56:44,vit16,100
2025-06-07 22:56:44,resnet18,50
2025-06-07 22:56:44,efficientnetb0,50
2025-06-07 22:56:45,efficientnetb0,50
2025-06-07 22:56:45,resnet18,50
2025-06-07 22:56:45,vit16,100
2025-06-07 22:56:46,efficientnetb0,50
2025-06-07 22:56:46,resnet18,50
2025-06-07 22:56:46,vit16,100
2025-06-07 22:56:47,efficientnetb0,50
2025-06-07 22:56:47,resnet18,50
2025-06-07 22:56:47,vit16,100
2025-06-07 22:56:48,efficientnetb0,50
2025-06-07 22:56:48,resnet18,50
2025-06-07 22:56:48,vit16,100
2025-06-07 22:56:49,resnet18,50
2025-06-07 22:56:49,vit16,100
2025-06-07 22:56:49,efficientnetb0,50
2025-06-07 22:56:50,efficientnetb0,50
2025-06-07 22:56:50,resnet18,50
2025-06-07 22:56:50,vit16,100
2025-06-07 22:56:51,efficientnetb0,50
2025-06-07 22:56:51,resnet18,50
2025-06-07 22:56:51,vit16,100
2025-06-07 22:56:52,resnet18,50
2025-06-07 22:56:52,efficientnetb0,50
2025-06-07 22:56:52,vit16,100
2025-06-07 22:56:53,efficientnetb0,50
2025-06-07 22:56:53,resnet18,50
2025-06-07 22:56:53,vit16,100
2025-06-07 22:56:54,resnet18,50
2025-06-07 22:56:54,vit16,100
2025-06-07 22:56:54,efficientnetb0,50
2025-06-07 22:56:55,vit16,100
2025-06-07 22:56:55,resnet18,50
2025-06-07 22:56:55,efficientnetb0,50
2025-06-07 22:56:56,efficientnetb0,50
2025-06-07 22:56:56,resnet18,50
2025-06-07 22:56:56,vit16,100
2025-06-07 22:56:57,efficientnetb0,50
2025-06-07 22:56:57,resnet18,50
2025-06-07 22:56:57,vit16,100
2025-06-07 22:56:58,efficientnetb0,50
2025-06-07 22:56:58,resnet18,50
2025-06-07 22:56:58,vit16,100
2025-06-07 22:56:59,efficientnetb0,50
2025-06-07 22:56:59,resnet18,50
2025-06-07 22:56:59,vit16,100
2025-06-07 22:57:00,resnet18,50
2025-06-07 22:57:00,vit16,100
2025-06-07 22:57:00,efficientnetb0,50
2025-06-07 22:57:01,efficientnetb0,50
2025-06-07 22:57:01,resnet18,50
2025-06-07 22:57:01,vit16,100
2025-06-07 22:57:02,efficientnetb0,50
2025-06-07 22:57:02,resnet18,50
2025-06-07 22:57:02,vit16,100
2025-06-07 22:57:03,resnet18,50
2025-06-07 22:57:03,efficientnetb0,50
2025-06-07 22:57:03,vit16,100
2025-06-07 22:57:04,efficientnetb0,50
2025-06-07 22:57:04,resnet18,50
2025-06-07 22:57:04,vit16,100
2025-06-07 22:57:05,resnet18,50
2025-06-07 22:57:05,vit16,100
2025-06-07 22:57:05,efficientnetb0,50
2025-06-07 22:57:06,vit16,100
2025-06-07 22:57:06,resnet18,50
2025-06-07 22:57:06,efficientnetb0,50
2025-06-07 22:57:07,efficientnetb0,50
2025-06-07 22:57:07,resnet18,50
2025-06-07 22:57:07,vit16,100
2025-06-07 22:57:08,efficientnetb0,50
2025-06-07 22:57:08,resnet18,50
2025-06-07 22:57:08,vit16,100
2025-06-07 22:57:09,efficientnetb0,50
2025-06-07 22:57:09,resnet18,50
2025-06-07 22:57:09,vit16,100
2025-06-07 22:57:10,efficientnetb0,50
2025-06-07 22:57:10,resnet18,50
2025-06-07 22:57:10,vit16,100
2025-06-07 22:57:11,resnet18,50
2025-06-07 22:57:11,vit16,100
2025-06-07 22:57:11,efficientnetb0,50
2025-06-07 22:57:12,efficientnetb0,50
2025-06-07 22:57:12,resnet18,50
2025-06-07 22:57:12,vit16,100
2025-06-07 22:57:13,efficientnetb0,50
2025-06-07 22:57:13,resnet18,50
2025-06-07 22:57:13,vit16,100
2025-06-07 22:57:14,resnet18,50
2025-06-07 22:57:14,efficientnetb0,50
2025-06-07 22:57:14,vit16,100
2025-06-07 22:57:15,efficientnetb0,50
2025-06-07 22:57:15,resnet18,50
2025-06-07 22:57:15,vit16,100
2025-06-07 22:57:16,resnet18,50
2025-06-07 22:57:16,vit16,100
2025-06-07 22:57:16,efficientnetb0,50
2025-06-07 22:57:17,vit16,100
2025-06-07 22:57:17,efficientnetb0,25
2025-06-07 22:57:17,resnet18,50
2025-06-07 22:57:18,efficientnetb0,50
2025-06-07 22:57:18,resnet18,50
2025-06-07 22:57:18,vit16,100
2025-06-07 22:57:19,efficientnetb0,50
2025-06-07 22:57:19,resnet18,50
2025-06-07 22:57:19,vit16,100
2025-06-07 22:57:20,efficientnetb0,50
2025-06-07 22:57:20,resnet18,50
2025-06-07 22:57:20,vit16,100
2025-06-07 22:57:21,efficientnetb0,50
2025-06-07 22:57:21,resnet18,50
2025-06-07 22:57:21,vit16,100
2025-06-07 22:57:22,resnet18,50
2025-06-07 22:57:22,vit16,100
2025-06-07 22:57:22,efficientnetb0,50
2025-06-07 22:57:23,efficientnetb0,50
2025-06-07 22:57:23,resnet18,50
2025-06-07 22:57:23,vit16,100
2025-06-07 22:57:24,efficientnetb0,50
2025-06-07 22:57:24,resnet18,50
2025-06-07 22:57:24,vit16,100
2025-06-07 22:57:25,resnet18,50
2025-06-07 22:57:25,efficientnetb0,50
2025-06-07 22:57:25,vit16,100
2025-06-07 22:57:26,efficientnetb0,50
2025-06-07 22:57:26,resnet18,50
2025-06-07 22:57:26,vit16,100
2025-06-07 22:57:27,resnet18,50
2025-06-07 22:57:27,vit16,100
2025-06-07 22:57:27,efficientnetb0,50
2025-06-07 22:57:28,vit16,100
2025-06-07 22:57:28,resnet18,50
2025-06-07 22:57:28,efficientnetb0,50
2025-06-07 22:57:29,efficientnetb0,50
2025-06-07 22:57:29,resnet18,50
2025-06-07 22:57:29,vit16,100
2025-06-07 22:57:30,efficientnetb0,50
2025-06-07 22:57:30,resnet18,50
2025-06-07 22:57:30,vit16,100
2025-06-07 22:57:31,efficientnetb0,50
2025-06-07 22:57:31,resnet18,50
2025-06-07 22:57:31,vit16,100
2025-06-07 22:57:32,efficientnetb0,50
2025-06-07 22:57:32,resnet18,50
2025-06-07 22:57:32,vit16,100
2025-06-07 22:57:33,resnet18,50
2025-06-07 22:57:33,vit16,100
2025-06-07 22:57:33,efficientnetb0,50
2025-06-07 22:57:34,efficientnetb0,50
2025-06-07 22:57:34,resnet18,50
2025-06-07 22:57:34,vit16,100
2025-06-07 22:57:35,efficientnetb0,50
2025-06-07 22:57:35,resnet18,50
2025-06-07 22:57:35,vit16,100
2025-06-07 22:57:36,resnet18,50
2025-06-07 22:57:36,efficientnetb0,50
2025-06-07 22:57:36,vit16,100
2025-06-07 22:57:37,efficientnetb0,50
2025-06-07 22:57:37,resnet18,50
2025-06-07 22:57:37,vit16,100
2025-06-07 22:57:38,resnet18,50
2025-06-07 22:57:38,vit16,100
2025-06-07 22:57:38,efficientnetb0,50
2025-06-07 22:57:39,vit16,100
2025-06-07 22:57:39,efficientnetb0,50
2025-06-07 22:57:39,resnet18,50
2025-06-07 22:57:40,efficientnetb0,50
2025-06-07 22:57:40,resnet18,50
2025-06-07 22:57:40,vit16,100
2025-06-07 22:57:41,efficientnetb0,50
2025-06-07 22:57:41,resnet18,50
2025-06-07 22:57:41,vit16,100
2025-06-07 22:57:42,efficientnetb0,50
2025-06-07 22:57:42,resnet18,50
2025-06-07 22:57:42,vit16,100
2025-06-07 22:57:43,efficientnetb0,50
2025-06-07 22:57:43,resnet18,50
2025-06-07 22:57:43,vit16,100
2025-06-07 22:57:44,vit16,100
2025-06-07 22:57:44,resnet18,50
2025-06-07 22:57:44,efficientnetb0,25
2025-06-07 22:57:45,efficientnetb0,50
2025-06-07 22:57:45,resnet18,50
2025-06-07 22:57:45,vit16,100
2025-06-07 22:57:46,efficientnetb0,50
2025-06-07 22:57:46,resnet18,50
2025-06-07 22:57:46,vit16,100
2025-06-07 22:57:47,efficientnetb0,50
2025-06-07 22:57:47,resnet18,50
2025-06-07 22:57:47,vit16,100
2025-06-07 22:57:48,efficientnetb0,50
2025-06-07 22:57:48,resnet18,50
2025-06-07 22:57:48,vit16,100
2025-06-07 22:57:49,vit16,100
2025-06-07 22:57:49,efficientnetb0,50
2025-06-07 22:57:49,resnet18,50
2025-06-07 22:57:50,efficientnetb0,50
2025-06-07 22:57:50,resnet18,50
2025-06-07 22:57:50,vit16,100
2025-06-07 22:57:51,efficientnetb0,50
2025-06-07 22:57:51,resnet18,50
