request_id,model_name,gpu_id,batch_id,arrival_time_readable,completion_time_readable,processing_time_us,status,slo_status,request_count
vit16_0_1749355586821855,vit16,0,vit16_0,2025-06-07 21:06:27,2025-06-07 21:06:27,171.08,Processed,Met,8
efficientnetb0_0_1749355586819537,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:06:27,2025-06-07 21:06:27,724.67,Processed,Met,12
resnet18_0_1749355587320299,resnet18,0,resnet18_0,2025-06-07 21:06:27,2025-06-07 21:06:27,250.758,Processed,Met,25
vit16_0_1749355586821855,vit16,0,vit16_0,2025-06-07 21:06:27,2025-06-07 21:06:27,833.61,Processed,Met,42
vit16_0_1749355587322028,vit16,0,vit16_0,2025-06-07 21:06:27,2025-06-07 21:06:27,333.437,Processed,Met,16
efficientnetb0_0_1749355587319657,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:06:27,2025-06-07 21:06:27,346.399,Processed,Met,12
vit16_0_1749355587322028,vit16,0,vit16_0,2025-06-07 21:06:28,2025-06-07 21:06:28,914.692,Processed,Met,34
vit16_0_1749355587822132,vit16,0,vit16_0,2025-06-07 21:06:28,2025-06-07 21:06:28,414.588,Processed,Met,24
efficientnetb0_0_1749355587819782,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:06:28,2025-06-07 21:06:28,427.678,Processed,Met,12
resnet18_0_1749355587820420,resnet18,0,resnet18_0,2025-06-07 21:06:28,2025-06-07 21:06:28,442.395,Processed,Met,25
vit16_0_1749355588322252,vit16,0,vit16_0,2025-06-07 21:06:29,2025-06-07 21:06:29,486.76,Processed,Met,50
efficientnetb0_0_1749355588319898,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:06:29,2025-06-07 21:06:29,500.004,Processed,Met,12
resnet18_0_1749355588320529,resnet18,0,resnet18_0,2025-06-07 21:06:29,2025-06-07 21:06:29,514.75,Processed,Met,25
vit16_0_1749355588822373,vit16,0,vit16_0,2025-06-07 21:06:29,2025-06-07 21:06:29,581.781,Processed,Met,50
vit16_0_1749355589322485,vit16,0,vit16_0,2025-06-07 21:06:29,2025-06-07 21:06:29,81.669,Processed,Met,8
efficientnetb0_0_1749355588820051,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:06:30,2025-06-07 21:06:30,1130.366,Processed,Met,12
efficientnetb0_0_1749355589320135,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:06:30,2025-06-07 21:06:30,630.282,Processed,Met,2
resnet18_0_1749355589320767,resnet18,0,resnet18_0,2025-06-07 21:06:30,2025-06-07 21:06:30,655.687,Processed,Met,25
resnet18_0_1749355589820855,resnet18,0,resnet18_0,2025-06-07 21:06:30,2025-06-07 21:06:30,155.599,Processed,Met,4
vit16_0_1749355589322485,vit16,0,vit16_0,2025-06-07 21:06:30,2025-06-07 21:06:30,737.788,Processed,Met,42
vit16_0_1749355589822600,vit16,0,vit16_0,2025-06-07 21:06:30,2025-06-07 21:06:30,237.673,Processed,Met,16
efficientnetb0_0_1749355589820252,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:06:30,2025-06-07 21:06:30,792.102,Processed,Met,12
resnet18_0_1749355590320975,resnet18,0,resnet18_0,2025-06-07 21:06:30,2025-06-07 21:06:30,317.844,Processed,Met,25
vit16_0_1749355589822600,vit16,0,vit16_0,2025-06-07 21:06:30,2025-06-07 21:06:30,899.852,Processed,Met,34
vit16_0_1749355590322722,vit16,0,vit16_0,2025-06-07 21:06:30,2025-06-07 21:06:30,399.73,Processed,Met,24
vit16_0_1749355590322722,vit16,0,vit16_0,2025-06-07 21:06:31,2025-06-07 21:06:31,980.609,Processed,Met,26
vit16_0_1749355590822828,vit16,0,vit16_0,2025-06-07 21:06:31,2025-06-07 21:06:31,480.503,Processed,Met,32
efficientnetb0_0_1749355590320745,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:06:31,2025-06-07 21:06:31,993.199,Processed,Met,12
efficientnetb0_0_1749355590820858,efficientnetb0,0,efficientnetb0_0,2025-06-07 21:06:31,2025-06-07 21:06:31,493.086,Processed,Met,12
