timestamp,model_name,rate
2025-06-07 21:04:03,efficientnetb0,1
2025-06-07 21:04:03,resnet18,1
2025-06-07 21:04:03,vit16,2
2025-06-07 21:04:04,efficientnetb0,5
2025-06-07 21:04:04,resnet18,5
2025-06-07 21:04:04,vit16,10
2025-06-07 21:04:05,efficientnetb0,7
2025-06-07 21:04:05,resnet18,7
2025-06-07 21:04:05,vit16,14
2025-06-07 21:04:06,efficientnetb0,9
2025-06-07 21:04:06,resnet18,9
2025-06-07 21:04:06,vit16,18
2025-06-07 21:04:07,efficientnetb0,11
2025-06-07 21:04:07,resnet18,11
2025-06-07 21:04:07,vit16,22
2025-06-07 21:04:08,efficientnetb0,13
2025-06-07 21:04:08,resnet18,13
2025-06-07 21:04:08,vit16,26
2025-06-07 21:04:09,efficientnetb0,14
2025-06-07 21:04:09,resnet18,14
2025-06-07 21:04:09,vit16,28
2025-06-07 21:04:10,efficientnetb0,17
2025-06-07 21:04:10,resnet18,17
2025-06-07 21:04:10,vit16,32
2025-06-07 21:04:11,efficientnetb0,19
2025-06-07 21:04:11,resnet18,19
2025-06-07 21:04:11,vit16,38
2025-06-07 21:04:12,efficientnetb0,21
2025-06-07 21:04:12,resnet18,21
2025-06-07 21:04:12,vit16,40
2025-06-07 21:04:13,efficientnetb0,22
2025-06-07 21:04:13,resnet18,22
2025-06-07 21:04:13,vit16,44
2025-06-07 21:04:14,efficientnetb0,25
2025-06-07 21:04:14,resnet18,25
2025-06-07 21:04:14,vit16,50
2025-06-07 21:04:15,efficientnetb0,27
2025-06-07 21:04:15,resnet18,27
2025-06-07 21:04:15,vit16,54
2025-06-07 21:04:16,efficientnetb0,29
2025-06-07 21:04:16,resnet18,29
2025-06-07 21:04:16,vit16,58
2025-06-07 21:04:17,efficientnetb0,31
2025-06-07 21:04:17,resnet18,31
2025-06-07 21:04:17,vit16,62
2025-06-07 21:04:18,efficientnetb0,33
2025-06-07 21:04:18,resnet18,33
2025-06-07 21:04:18,vit16,66
2025-06-07 21:04:19,efficientnetb0,35
2025-06-07 21:04:19,resnet18,35
2025-06-07 21:04:19,vit16,68
