timestamp,model_name,violation_count
2025-06-07 21:04:03,efficientnetb0,1
2025-06-07 21:04:03,resnet18,1
2025-06-07 21:04:03,vit16,1
2025-06-07 21:04:04,efficientnetb0,3
2025-06-07 21:04:04,resnet18,3
2025-06-07 21:04:04,vit16,4
2025-06-07 21:04:05,efficientnetb0,5
2025-06-07 21:04:05,resnet18,5
2025-06-07 21:04:05,vit16,8
2025-06-07 21:04:06,vit16,13
2025-06-07 21:04:06,resnet18,4
2025-06-07 21:04:06,efficientnetb0,4
2025-06-07 21:04:07,efficientnetb0,3
2025-06-07 21:04:07,resnet18,3
2025-06-07 21:04:07,vit16,5
2025-06-07 21:04:08,efficientnetb0,8
2025-06-07 21:04:08,resnet18,8
2025-06-07 21:04:08,vit16,9
2025-06-07 21:04:09,efficientnetb0,3
2025-06-07 21:04:09,resnet18,3
2025-06-07 21:04:09,vit16,12
2025-06-07 21:04:10,vit16,12
2025-06-07 21:04:10,efficientnetb0,2
2025-06-07 21:04:10,resnet18,10
2025-06-07 21:04:11,efficientnetb0,9
2025-06-07 21:04:11,resnet18,1
2025-06-07 21:04:11,vit16,16
2025-06-07 21:04:12,efficientnetb0,1
2025-06-07 21:04:12,resnet18,11
2025-06-07 21:04:12,vit16,26
2025-06-07 21:04:13,efficientnetb0,1
2025-06-07 21:04:14,efficientnetb0,13
2025-06-07 21:04:14,resnet18,4
2025-06-07 21:04:15,vit16,35
2025-06-07 21:04:15,resnet18,12
2025-06-07 21:04:16,efficientnetb0,14
2025-06-07 21:04:16,resnet18,1
2025-06-07 21:04:17,resnet18,14
2025-06-07 21:04:17,vit16,32
2025-06-07 21:04:18,efficientnetb0,16
2025-06-07 21:04:18,resnet18,1
2025-06-07 21:04:19,vit16,3
2025-06-07 21:04:19,resnet18,16
2025-06-07 21:04:20,resnet18,18
2025-06-07 21:04:20,vit16,34
2025-06-07 21:04:20,efficientnetb0,17
2025-06-07 21:04:21,efficientnetb0,18
2025-06-07 21:04:21,resnet18,17
2025-06-07 21:04:21,vit16,36
2025-06-07 21:04:23,efficientnetb0,18
2025-06-07 21:04:23,resnet18,20
