batch_size,avg_latency_ms,peak_memory_mb
1,84.0005,331.562
2,78.6701,361.562
3,79.8742,365.562
4,79.0304,363.562
5,82.0577,427.562
6,80.8575,431.562
7,80.7911,431.562
8,81.4404,431.562
9,80.8501,431.562
10,80.8658,433.562
11,81.1834,563.562
12,80.6047,559.562
13,80.8613,563.562
14,82.2453,565.562
15,81.7115,561.562
16,82.2673,561.562
17,81.7871,565.562
18,81.7932,567.562
19,81.7023,567.562
20,81.969,563.562
21,82.7015,601.562
22,82.0777,597.562
23,83.5629,597.562
24,84.3383,597.562
25,83.7696,603.562
26,84.4112,599.562
27,83.9769,599.562
28,84.8351,729.562
29,84.4904,733.562
30,86.4423,729.562
31,85.603,733.562
32,87.534,735.562
33,86.4522,735.562
34,85.7772,731.562
35,87.7995,733.562
36,86.615,737.562
37,86.0455,733.562
38,85.9151,733.562
39,86.6597,735.562
40,86.1832,735.562
41,87.1548,735.562
42,86.9072,869.562
43,87.5209,865.562
44,88.4059,865.562
45,88.2219,865.562
46,87.03,871.562
47,87.6155,867.562
48,87.2186,871.562
49,86.9251,869.562
50,87.0048,869.562
51,87.9489,873.562
52,86.7015,869.562
53,86.6877,871.562
54,86.6914,875.562
55,87.0938,875.562
56,87.6439,1133.56
57,88.7375,1133.56
58,88.0505,1133.56
59,88.6827,1133.56
60,90.4934,1131.56
61,88.6856,1133.56
62,88.5383,1131.56
63,89.1456,1133.56
64,88.3854,1133.56
65,88.3208,1133.56
66,88.8783,1133.56
67,89.4262,1135.56
68,89.5864,1135.56
69,89.0049,1135.56
70,89.3734,1137.56
71,89.7136,1137.56
72,89.4653,1141.56
73,88.379,1137.56
74,88.8738,1139.56
75,90.2626,1143.56
76,89.0468,1143.56
77,88.8204,1141.56
78,89.2666,1141.56
79,89.3485,1141.56
80,89.0833,1141.56
81,89.2977,1143.56
82,89.3599,1143.56
83,90.0116,1143.56
84,104.43,1401.56
85,104.252,1401.56
86,103.752,1401.56
87,104.777,1401.56
88,106.559,1403.56
89,103.529,1403.56
90,103.355,1403.56
91,104.583,1405.56
92,105.212,1405.56
93,105.126,1409.56
94,104.612,1409.56
95,105.13,1411.56
96,105.464,1411.56
97,105.222,1411.56
98,104.647,1413.56
99,104.699,1409.56
100,104.538,1413.56
101,104.757,1409.56
102,104.769,1411.56
103,104.558,1411.56
104,105.039,1411.56
105,105.444,1417.56
106,105.613,1415.56
107,105.24,1415.56
108,105.402,1419.56
109,105.542,1415.56
110,106.002,1419.56
111,105.896,1419.56
112,108.237,1933.56
113,108.345,1929.56
114,108.487,1933.56
115,108.77,1931.56
116,108.429,1935.56
117,109.991,1935.56
118,110.009,1931.56
119,108.967,1933.56
120,109.62,1933.56
121,109.616,1933.56
122,110.206,1935.56
123,110.858,1935.56
124,110.602,1935.56
125,110.755,1935.56
126,110.324,1937.56
127,110.352,1941.56
128,109.723,1937.56
129,111.637,1939.56
130,110.421,1939.56
131,110.607,1939.56
132,111.102,1939.56
133,109.997,1943.56
134,111.837,1941.56
135,111.378,1941.56
136,111.993,1943.56
137,111.48,1943.56
138,112.22,1943.56
139,111.871,1943.56
140,112.802,1949.56
141,112.408,1945.56
142,113.537,1949.56
143,115.207,1951.56
144,114.554,1951.56
145,114.282,1949.56
146,114.386,1947.56
147,113.301,1951.56
148,113.881,1949.56
149,114.22,1951.56
150,114.45,1953.56
151,114.832,1951.56
152,115.261,1951.56
153,115.414,1951.56
154,116.547,1953.56
155,117.441,1953.56
156,118.571,1953.56
157,117.662,1955.56
158,115.637,1955.56
159,117.294,1955.56
160,117.168,1955.56
161,117.061,1959.56
162,118.107,1957.56
163,118.137,1959.56
164,117.2,1959.56
165,118.088,1961.56
166,118.851,1959.56
167,118.835,1961.56
168,134.26,2475.56
169,135.248,2475.56
170,136.427,2473.56
171,134.078,2475.56
172,134.429,2475.56
173,135.854,2477.56
174,136.107,2475.56
175,134.842,2477.56
176,135.5,2477.56
177,136.042,2477.56
178,135.942,2479.56
179,137.405,2479.56
180,136.952,2479.56
181,136.796,2479.56
182,137.642,2481.56
183,143.121,2481.56
184,137.262,2481.56
185,138.049,2483.56
186,138.448,2483.56
187,139.244,2483.56
188,139.664,2487.56
189,139.177,2489.56
190,140.041,2489.56
191,140.147,2485.56
192,139.186,2491.56
193,138.955,2487.56
194,140.503,2491.56
195,140.537,2487.56
196,141.472,2491.56
197,140.22,2489.56
198,140.524,2489.56
199,140.094,2491.56
200,140.868,2491.56
201,142.289,2491.56
202,143.489,2491.56
203,143.023,2495.56
204,142.5,2495.56
205,143.286,2493.56
206,143.067,2495.56
207,144.224,2497.56
208,142.823,2497.56
209,144.585,2499.56
210,143.442,2497.56
211,143.966,2497.56
212,144.618,2499.56
213,144.606,2499.56
214,144.055,2499.56
215,145.578,2499.56
216,145.917,2501.56
217,144.342,2501.56
218,145.875,2501.56
219,146.624,2501.56
220,146.843,2507.56
221,146.173,2503.56
222,146.285,2503.56
223,163.955,3533.56
224,165.538,3533.56
225,163.658,3529.56
226,166.967,3529.56
227,165.171,3531.56
228,165.797,3531.56
229,164.231,3531.56
230,163.263,3533.56
231,165.444,3533.56
232,165.87,3533.56
233,166.892,3533.56
234,168.306,3535.56
235,167.306,3539.56
236,165.73,3535.56
237,163.955,3537.56
238,166.355,3541.56
239,167.497,3539.56
240,167.996,3541.56
241,166.24,3539.56
242,167.429,3543.56
243,167.775,3543.56
244,169.632,3545.56
245,169.29,3545.56
246,167.676,3545.56
247,169.837,3543.56
248,170.207,3543.56
249,170.838,3543.56
250,171.621,3543.56
251,171.908,3545.56
252,171.814,3545.56
253,172.218,3545.56
254,172.032,3545.56
255,171.044,3549.56
256,172.096,3551.56
257,172.978,3547.56
258,174.422,3553.56
259,171.814,3553.56
260,173.602,3549.56
261,174.118,3549.56
262,174.789,3551.56
263,175.914,3555.56
264,175.445,3551.56
265,175.734,3553.56
266,175.747,3553.56
267,175.171,3557.56
268,175.981,3553.56
269,177.959,3559.56
270,177.68,3555.56
271,176.448,3555.56
272,173.137,3557.56
273,175.332,3557.56
274,181.154,3559.56
275,177.554,3557.56
276,178.174,3563.56
277,176.775,3561.56
278,176.599,3561.56
279,178.685,3565.56
280,179.328,3561.56
281,179.239,3563.56
282,179.761,3563.56
283,180.503,3563.56
284,179.926,3563.56
285,180.892,3567.56
286,181.513,3567.56
287,181.658,3567.56
288,179.827,3565.56
289,182.577,3565.56
290,182.15,3569.56
291,179.405,3567.56
292,178.548,3567.56
293,180.192,3571.56
294,178.707,3569.56
295,184.077,3569.56
296,184.197,3571.56
297,186.109,3573.56
298,185.333,3571.56
299,183.694,3571.56
300,185.48,3573.56
301,184.469,3573.56
302,185.413,3573.56
303,188.314,3573.56
304,183.646,3575.56
305,183.343,3575.56
306,184.578,3575.56
307,186.079,3577.56
308,186.046,3577.56
309,186.574,3577.56
310,185.71,3579.56
311,189.037,3579.56
312,190.381,3579.56
313,189.789,3579.56
314,189.392,3581.56
315,189.139,3581.56
316,189.887,3581.56
317,190.978,3583.56
318,192.041,3583.56
319,190.897,3583.56
320,189.527,3583.56
321,188.545,3585.56
322,186.061,3585.56
323,186.982,3585.56
324,190.17,3587.56
325,190.8,3587.56
326,189.863,3591.56
327,192.379,3587.56
328,193.482,3589.56
329,194.555,3589.56
330,194.75,3589.56
331,195.377,3591.56
332,195.16,3591.56
333,194.376,3591.56
334,195.131,3591.56
335,214.885,4617.56
336,211.984,4617.56
337,212.865,4617.56
338,213.563,4619.56
339,213.605,4619.56
340,212.99,4619.56
341,213.452,4619.56
342,216.632,4621.56
343,215.638,4621.56
344,216.515,4621.56
345,216.763,4623.56
346,216.621,4623.56
347,216.878,4623.56
348,217.315,4623.56
349,216.888,4625.56
350,213.36,4625.56
351,216.235,4625.56
352,216.276,4627.56
353,216.237,4627.56
354,216.822,4627.56
355,217.664,4627.56
356,217.454,4629.56
357,219.008,4629.56
358,220.091,4629.56
359,220.006,4631.56
360,219.049,4631.56
361,220.912,4631.56
362,221.971,4631.56
363,222.32,4633.56
364,221.216,4633.56
365,221.664,4633.56
366,220.59,4635.56
367,220.814,4635.56
368,219.535,4635.56
369,221.883,4635.56
370,220.768,4637.56
371,223.131,4637.56
372,223.226,4637.56
373,222.861,4639.56
374,223.364,4639.56
375,225.991,4639.56
376,226.131,4639.56
377,225.156,4641.56
378,225.043,4641.56
379,227.097,4641.56
380,226.47,4643.56
381,227.665,4643.56
382,227.866,4643.56
383,228.067,4643.56
384,226.272,4645.56
385,224.493,4645.56
386,224.045,4645.56
387,225.557,4647.56
388,227.564,4647.56
389,228.128,4647.56
390,225.824,4647.56
391,228.142,4651.56
392,228.588,4649.56
393,229.413,4649.56
394,231.519,4651.56
395,232.627,4651.56
396,231.721,4651.56
397,232.003,4651.56
398,231.897,4653.56
399,233.26,4653.56
400,232.602,4653.56
401,233.407,4655.56
402,232.654,4655.56
403,233.002,4655.56
404,234.36,4655.56
405,234.359,4657.56
406,234.885,4657.56
407,235.798,4657.56
408,236.587,4659.56
409,235.061,4659.56
410,235.435,4659.56
411,235.626,4661.56
412,235.867,4661.56
413,236.739,4661.56
414,236.543,4661.56
415,236.797,4663.56
416,236.426,4663.56
417,238.579,4663.56
418,238.767,4665.56
419,237.527,4665.56
420,239.643,4665.56
421,239.486,4665.56
422,240.72,4667.56
423,240.351,4667.56
424,239.923,4667.56
425,242.023,4669.56
426,242.749,4669.56
427,243.04,4669.56
