batch_size,avg_latency_ms,peak_memory_mb
1,41.8006,425.562
2,38.3886,435.562
3,37.8896,425.562
4,38.7607,435.562
5,39.0094,429.562
6,38.7509,437.562
7,38.2702,433.562
8,39.0832,439.562
9,38.8365,433.562
10,39.4652,439.562
11,38.7124,559.562
12,39.4576,561.562
13,39.0943,563.562
14,39.094,563.562
15,39.7658,563.562
16,40.6415,563.562
17,40.0483,563.562
18,39.8717,565.562
19,40.5429,567.562
20,39.9491,565.562
21,40.55,639.562
22,40.5767,639.562
23,40.6141,633.562
24,41.5314,639.562
25,41.4127,639.562
26,41.252,641.562
27,40.5372,643.562
28,41.6593,643.562
29,41.3719,645.562
30,41.1176,637.562
31,40.7901,645.562
32,42.1022,639.562
33,40.838,647.562
34,41.0464,639.562
35,40.9923,649.562
36,40.6927,649.562
37,41.2147,641.562
38,41.7612,647.562
39,41.3154,651.562
40,41.4202,641.562
41,41.0712,649.562
42,41.5606,907.562
43,41.8023,899.562
44,41.5636,907.562
45,42.3765,899.562
46,41.9498,901.562
47,42.0464,911.562
48,42.3055,911.562
49,42.0681,905.562
50,41.4977,913.562
51,41.973,913.562
52,41.6438,911.562
53,41.9339,915.562
54,41.559,915.562
55,41.5072,915.562
56,42.0402,917.562
57,41.8439,911.562
58,42.1303,915.562
59,42.3886,915.562
60,42.0834,919.562
61,42.2069,917.562
62,42.2324,917.562
63,42.8114,919.562
64,43.5449,913.562
65,42.9372,913.562
66,42.7184,919.562
67,42.7638,921.562
68,43.0127,923.562
69,42.7608,921.562
70,43.2572,917.562
71,43.3049,925.562
72,43.7516,917.562
73,43.7611,923.562
74,43.4033,923.562
75,43.1643,925.562
76,42.9263,917.562
77,43.5952,927.562
78,43.6776,927.562
79,43.0898,927.562
80,43.4695,929.562
81,43.4059,985.562
82,43.6129,931.562
83,43.4522,931.562
84,43.5036,985.562
85,43.111,925.562
86,43.2369,985.562
87,43.5832,931.562
88,43.3735,933.562
89,43.5579,987.562
90,43.7659,927.562
91,43.7168,991.562
92,44.0618,989.562
93,43.688,989.562
94,44.032,989.562
95,43.9813,937.562
96,44.6491,937.562
97,44.4545,991.562
98,45.1949,939.562
99,46.135,993.562
100,45.1821,941.562
101,45.2253,939.562
102,44.7517,941.562
103,45.1638,935.562
104,45.5236,995.562
105,45.5796,997.562
106,44.881,939.562
107,45.6047,997.562
108,45.6954,999.562
109,46.4683,939.562
110,45.7301,999.562
111,45.7193,999.562
112,45.9833,1001.56
113,45.871,1001.56
114,45.8175,1001.56
115,45.6897,1003.56
116,46.499,951.562
117,46.6731,1003.56
118,46.8502,1003.56
119,46.181,951.562
120,46.4193,953.562
121,46.6596,1005.56
122,46.5016,1007.56
123,47.3122,955.562
124,46.7293,955.562
125,46.8909,1007.56
126,49.4941,1521.56
127,49.047,1461.56
128,48.8342,1521.56
129,49.5175,1471.56
130,50.9458,1523.56
131,50.2691,1461.56
132,49.3395,1469.56
133,49.8968,1471.56
134,50.1119,1471.56
135,49.9847,1471.56
136,50.3998,1473.56
137,50.6325,1527.56
138,50.5966,1527.56
139,50.966,1475.56
140,50.5461,1475.56
141,50.8311,1469.56
142,51.0432,1475.56
143,51.1696,1531.56
144,51.227,1531.56
145,51.3466,1479.56
146,51.6328,1479.56
147,51.5402,1479.56
148,52.4007,1533.56
149,51.6551,1479.56
150,51.76,1483.56
151,51.8969,1481.56
152,52.2306,1481.56
153,51.7747,1535.56
154,52.5109,1483.56
155,52.3502,1483.56
156,52.8883,1483.56
157,52.8091,1479.56
158,52.9023,1539.56
159,53.1854,1487.56
160,53.6001,1487.56
161,53.722,1489.56
162,53.1294,1485.56
163,53.8136,1479.56
164,53.8442,1491.56
165,54.0855,1491.56
166,54.1092,1483.56
167,54.7391,1545.56
168,55.2146,1493.56
169,55.3428,1545.56
170,54.7284,1545.56
171,55.6159,1549.56
172,55.7488,1493.56
173,55.8266,1547.56
174,55.9518,1547.56
175,56.5991,1549.56
176,57.1933,1549.56
177,56.7161,1493.56
178,56.581,1499.56
179,56.615,1553.56
180,56.8961,1497.56
181,56.8847,1551.56
182,56.8518,1499.56
183,56.5845,1499.56
184,57.2926,1499.56
185,57.0998,1501.56
186,57.5406,1501.56
187,57.2979,1555.56
188,58.366,1555.56
189,58.2893,1505.56
190,58.142,1497.56
191,58.2625,1503.56
192,58.2607,1497.56
193,59.1492,1501.56
194,59.3584,1559.56
195,59.0797,1497.56
196,59.2406,1561.56
197,59.8958,1501.56
198,59.771,1561.56
199,60.0697,1501.56
200,59.9574,1563.56
201,60.5329,1503.56
202,60.6276,1563.56
203,60.6702,1565.56
204,60.281,1511.56
205,60.3419,1565.56
206,60.6929,1567.56
207,60.9376,1513.56
208,61.1093,1513.56
209,62.1655,1515.56
210,61.7887,1513.56
211,61.8221,1569.56
212,61.5501,1509.56
213,62.4554,1571.56
214,61.9049,1517.56
215,62.129,1571.56
216,62.2566,1575.56
217,62.0103,1575.56
218,63.7416,1573.56
219,62.9553,1573.56
220,64.2346,1519.56
221,64.2399,1577.56
222,65.4473,1521.56
223,64.0672,1577.56
224,64.2189,1577.56
225,65.0612,1577.56
226,64.2535,1577.56
227,64.4042,1579.56
228,64.4485,1579.56
229,64.8583,1579.56
230,64.6069,1527.56
231,64.9623,1583.56
232,65.6913,1581.56
233,65.57,1581.56
234,65.3515,1531.56
235,65.8852,1583.56
236,66.0649,1583.56
237,67.1668,1585.56
238,66.2673,1585.56
239,66.5905,1585.56
240,67.177,1585.56
241,66.7874,1587.56
242,66.9011,1533.56
243,66.954,1587.56
244,67.4805,1589.56
245,67.2531,1589.56
246,67.6758,1537.56
247,68.1472,1589.56
248,68.4601,1537.56
249,68.3525,1591.56
250,68.6297,1593.56
251,68.7414,1595.56
252,68.8095,1595.56
253,69.404,1593.56
254,69.5021,1595.56
255,69.2459,1595.56
256,70.3988,1595.56
257,70.2956,1597.56
258,69.7341,1599.56
259,69.9892,1597.56
260,70.7739,1597.56
261,70.6264,1597.56
262,70.9211,1545.56
263,71.0153,1599.56
264,71.3654,1547.56
265,71.3925,1547.56
266,71.9624,1601.56
267,71.6949,1541.56
268,89.1052,2625.56
269,88.4759,2627.56
270,89.1893,2629.56
271,89.1966,2627.56
272,89.3764,2631.56
273,89.6163,2629.56
274,89.7207,2629.56
275,91.1703,2569.56
276,91.1369,2579.56
277,91.0683,2631.56
278,91.7569,2631.56
279,91.2547,2633.56
280,91.7202,2581.56
281,91.45,2633.56
282,91.6657,2635.56
283,92.7576,2635.56
284,91.7178,2637.56
285,91.9743,2635.56
286,92.2416,2583.56
287,92.7314,2585.56
288,92.8753,2639.56
289,92.0491,2637.56
290,92.3742,2641.56
291,92.2852,2639.56
292,91.9645,2639.56
293,92.2906,2641.56
294,92.9212,2641.56
295,93.2187,2641.56
296,93.0171,2589.56
297,92.8168,2643.56
298,93.0506,2643.56
299,93.0785,2643.56
300,93.8853,2645.56
301,94.2239,2645.56
302,94.6009,2591.56
303,94.688,2585.56
304,94.6371,2647.56
305,94.9231,2647.56
306,95.063,2595.56
307,95.3042,2649.56
308,95.1084,2587.56
309,96.2637,2593.56
310,96.1433,2651.56
311,95.778,2651.56
312,95.952,2599.56
313,95.8541,2651.56
314,96.0233,2653.56
315,96.3304,2591.56
316,96.2267,2653.56
317,96.1371,2655.56
318,96.1335,2657.56
319,97.1688,2655.56
320,97.2831,2655.56
321,97.2522,2657.56
322,96.9065,2659.56
323,97.336,2657.56
324,97.0784,2659.56
325,98.0217,2597.56
326,97.8209,2605.56
327,98.5016,2659.56
328,98.8102,2601.56
329,98.6237,2661.56
330,99.7674,2661.56
331,99.9656,2663.56
332,100.237,2665.56
333,99.7627,2603.56
334,100.377,2603.56
335,116.374,2611.56
336,116.539,2603.56
337,116.631,2611.56
338,116.858,2667.56
339,117.033,2613.56
340,117.467,2667.56
341,116.946,2667.56
342,117.184,2669.56
343,117.629,2669.56
344,117.765,2669.56
345,118.803,2671.56
346,118.555,2673.56
347,118.822,2617.56
348,119.355,2671.56
349,118.951,2673.56
350,118.557,2619.56
351,119.206,2673.56
352,119.713,2623.56
353,120.029,2613.56
354,121.372,2677.56
355,120.457,2677.56
356,120.376,2679.56
357,121.477,2623.56
358,121.153,2677.56
359,121.18,2679.56
360,121.104,2679.56
361,121.271,2679.56
362,122.261,2679.56
363,122.38,2621.56
364,122.061,2627.56
365,121.323,2629.56
366,122.528,2685.56
367,121.947,2683.56
368,121.884,2685.56
369,121.851,2685.56
370,123.517,2685.56
371,123.688,2687.56
372,122.759,2687.56
373,122.885,2687.56
374,123.704,2689.56
375,124.506,2689.56
376,123.706,2689.56
377,123.693,2689.56
378,124.952,2691.56
379,125.007,2689.56
380,124.608,2693.56
381,124.263,2637.56
382,124.572,2691.56
383,124.362,2691.56
384,125.305,2693.56
385,126.711,2695.56
386,126.446,2639.56
387,126.291,2695.56
388,126.96,2695.56
389,127.039,2641.56
390,127.221,2695.56
391,127.476,2645.56
392,127.238,2645.56
393,127.246,2699.56
394,127.674,2699.56
395,127.717,2699.56
396,128.673,2645.56
397,128.821,2699.56
398,129.446,2701.56
399,129.831,2647.56
400,129.448,2649.56
401,129.292,2649.56
