batch_size,avg_latency_ms,peak_memory_mb
1,3.64909,819.562
2,5.0597,825.562
3,6.2183,837.562
4,7.03186,861.562
5,9.03772,885.562
6,10.1282,909.562
7,11.2762,945.562
8,12.1447,981.562
9,12.9842,1017.56
10,16.3008,1061.56
11,17.2356,1109.56
12,18.6197,1149.56
13,19.5519,1197.56
14,20.5132,1259.56
15,21.7461,1317.56
16,22.7984,1377.56
17,23.8725,1949.56
18,24.5123,1517.56
19,28.5398,2101.56
20,29.9028,2165.56
21,31.392,2253.56
22,32.2657,2333.56
23,33.5287,2417.56
24,34.206,2501.56
25,35.6071,2597.56
26,36.4688,2693.56
27,37.2755,2797.56
28,39.9641,2897.56
29,40.8709,3009.56
30,42.2322,3113.56
31,43.0962,3229.56
32,44.6802,3349.56
33,46.0272,3461.56
34,46.9781,3589.56
35,47.2962,3721.56
36,48.294,3845.56
37,52.5225,3985.56
38,53.1051,4113.56
39,54.0101,4253.56
40,54.9983,4403.56
41,56.4864,4541.56
42,57.3321,4697.56
43,58.9527,4853.56
44,59.8881,5009.56
45,60.7754,5165.56
46,63.6563,5341.56
47,64.3889,5501.56
48,65.8395,5669.56
49,67.295,5849.56
50,68.3995,6037.56
51,69.7818,6209.56
52,70.6217,6389.56
53,71.577,6581.56
54,72.3623,6777.56
55,76.4856,6965.56
56,77.2492,7177.56
57,78.4101,7373.56
58,79.9093,7577.56
59,80.3999,7781.56
60,82.0456,7997.56
61,83.5517,8213.56
62,84.819,8437.56
63,85.2971,8657.56
64,86.9494,8885.56
65,87.9422,9117.56
66,88.8795,9349.56
67,90.317,9581.56
68,91.2457,9825.56
69,93.1229,10069.6
70,93.6595,10321.6
71,94.5343,10569.6
72,95.0571,10821.6
73,101.523,12051.6
74,102.88,12361.6
75,103.526,12621.6
76,104.346,12885.6
77,105.213,13161.6
78,106.865,13441.6
79,108.201,13713.6
80,109.175,13997.6
81,110.065,14277.6
82,111.244,14565.6
83,112.256,14861.6
84,112.915,15161.6
85,114.221,15461.6
86,115.137,15753.6
87,116.508,16053.6
88,117.608,16373.6
89,117.922,16681.6
90,119.077,16997.6
91,124.022,17313.6
92,125.141,17637.6
93,125.998,17961.6
94,127.046,18293.6
95,128.086,18629.6
96,129.152,18797.6
97,130.365,19293.6
98,131.42,19641.6
99,132.216,19997.6
100,132.916,20345.6
101,134.889,20693.6
102,135.68,21045.6
103,137.099,21405.6
104,138.169,21765.6
105,139.207,22137.6
106,140.133,22513.6
107,141.022,22881.6
108,142.135,23269.6
109,143.044,23653.6
110,147.693,24041.6
111,148.853,24415.6
112,149.917,24813.6
113,150.862,25209.6
114,152.418,25613.6
115,153.952,26013.6
116,155.227,26421.6
117,156.076,26829.6
118,156.83,27237.6
119,158.199,27657.6
120,159.191,28077.6
121,160.841,28497.6
122,161.976,28941.6
123,163.481,29361.6
124,163.976,29801.6
125,164.583,30229.6
126,165.61,30669.6
127,168.098,31111.6
128,173.35,31565.6
129,174.061,32017.6
130,175.09,32477.6
131,175.852,32925.6
132,177.152,33381.6
133,177.899,33849.6
134,179.057,34317.6
135,180.09,34785.6
136,181.905,35273.6
137,182.718,35745.6
138,183.732,36233.6
139,184.466,36713.6
140,186.293,37197.6
141,187.94,37697.6
142,188.927,38181.6
143,190.156,38685.6
144,191.64,39189.6
145,191.896,39693.6
146,196.648,40197.6
147,198.165,40713.6
148,199.197,41229.6
149,199.625,41753.6
150,200.798,42273.6
151,202.343,42805.6
152,203.665,43337.6
153,204.628,43857.6
154,205.712,44397.6
155,206.522,44941.6
156,207.625,45485.6
157,208.297,46029.6
158,210.437,46585.6
159,211.207,47141.6
160,211.838,47685.6
161,212.779,48249.6
1,24.0955,809.562
2,25.3391,819.562
3,26.4518,823.562
4,28.0434,821.562
5,29.1311,813.562
6,30.2601,825.562
7,31.7281,823.562
8,32.514,823.562
9,33.3807,823.562
10,36.213,823.562
11,37.6506,817.562
12,38.8474,825.562
13,39.0898,821.562
14,40.1667,827.562
15,41.5893,831.562
16,43.1041,827.562
17,44.1151,831.562
18,45.0614,1333.56
19,49.0143,1341.56
20,50.8257,1341.56
21,51.7328,1343.56
22,53.0318,1343.56
23,54.286,1347.56
24,55.6015,1335.56
25,56.704,1337.56
26,57.3292,1341.56
27,57.9415,1349.56
28,61.0379,1339.56
29,61.6164,1347.56
30,62.9161,1351.56
31,63.6717,1351.56
32,65.0761,1349.56
33,65.2366,1353.56
34,66.4939,1349.56
35,66.7523,1351.56
36,68.518,1347.56
37,72.7099,1343.56
38,72.9558,1355.56
39,73.9642,1353.56
40,74.0579,1357.56
41,76.3867,1357.56
42,77.1087,1347.56
43,78.5349,1355.56
44,79.439,1347.56
45,80.3717,1359.56
46,83.2954,1361.56
47,84.2093,1361.56
48,86.3058,1357.56
49,86.7869,1359.56
50,87.9391,1359.56
51,89.3874,1363.56
52,91.3896,1351.56
53,91.7092,1361.56
54,92.2859,1361.56
55,95.3235,1357.56
56,96.6498,1363.56
57,96.8657,1367.56
58,99.1427,1367.56
59,100.953,1367.56
60,101.992,1357.56
61,102.981,1365.56
62,104.024,1361.56
63,104.675,1371.56
64,179.827,1367.56
65,106.392,1367.56
66,108.308,1371.56
67,109.66,1361.56
68,109.821,1361.56
69,112.585,1373.56
70,112.696,1371.56
71,113.634,1371.56
72,114.484,1371.56
73,122.478,2395.56
74,124.784,2397.56
75,125.34,2401.56
76,126.245,2401.56
77,126.586,2399.56
78,128.692,2399.56
79,129.856,2395.56
80,130.946,2403.56
81,131.651,2405.56
82,133.369,2401.56
83,134.319,2405.56
84,134.437,2397.56
85,136.083,2403.56
86,138.379,2407.56
87,138.552,2403.56
88,140.016,2405.56
89,140.416,2401.56
90,140.972,2405.56
91,145.955,2403.56
92,146.703,2403.56
93,147.53,2403.56
94,148.674,2407.56
95,150.002,2409.56
96,148.882,2401.56
97,152.571,2409.56
98,152.631,2415.56
99,153.962,2411.56
100,155.182,2411.56
101,155.895,2403.56
102,156.542,2417.56
103,158.486,2417.56
104,158.731,2405.56
105,160.624,2419.56
106,161.277,2419.56
107,162.446,2419.56
108,162.996,2413.56
109,164.555,2421.56
110,169.508,2421.56
111,169.949,2421.56
112,171.843,2419.56
113,172.356,2411.56
114,174.452,2423.56
115,174.925,2413.56
116,176.128,2425.56
117,176.631,2413.56
118,177.4,2417.56
119,178.526,2423.56
120,180.946,2427.56
121,181.519,2423.56
122,182.513,2425.56
123,184.2,2425.56
124,185.42,2429.56
125,186.553,2429.56
126,186.599,2431.56
127,187.33,2419.56
128,191.756,2431.56
129,191.971,2421.56
130,193.455,2433.56
131,194.596,2421.56
132,195.48,2421.56
133,196.201,2427.56
134,197.797,2423.56
135,199.268,2431.56
136,199.648,2425.56
137,200.94,2437.56
138,202.057,2425.56
139,202.048,2433.56
140,204.085,2435.56
141,205.722,2435.56
