request_id,model_name,gpu_id,batch_id,arrival_time_readable,completion_time_readable,processing_time_us,status,slo_status
resnet18_0_1747112986361685,resnet18,0,resnet18_0,1970-01-20 21:18:32.986,1970-01-20 21:18:32.990,4585.556,Processed,Violated
resnet18_0_1747112986861794,resnet18,0,resnet18_0,1970-01-20 21:18:32.986,1970-01-20 21:18:32.990,4085.447,Processed,Violated
vit16_0_1747112984861621,vit16,0,vit16_0,1970-01-20 21:18:32.984,1970-01-20 21:18:32.991,6484.339,Processed,Violated
vit16_0_1747112985361723,vit16,0,vit16_0,1970-01-20 21:18:32.985,1970-01-20 21:18:32.991,5984.237,Processed,Violated
resnet18_0_1747112986861794,resnet18,0,resnet18_0,1970-01-20 21:18:32.986,1970-01-20 21:18:32.991,4485.931,Processed,Violated
resnet18_0_1747112987361905,resnet18,0,resnet18_0,1970-01-20 21:18:32.987,1970-01-20 21:18:32.991,3985.82,Processed,Violated
vit16_0_1747112985361723,vit16,0,vit16_0,1970-01-20 21:18:32.985,1970-01-20 21:18:32.991,6384.834,Processed,Violated
vit16_0_1747112985861845,vit16,0,vit16_0,1970-01-20 21:18:32.985,1970-01-20 21:18:32.991,5884.712,Processed,Violated
resnet18_0_1747112987361905,resnet18,0,resnet18_0,1970-01-20 21:18:32.987,1970-01-20 21:18:32.991,4386.388,Processed,Violated
vit16_0_1747112985861845,vit16,0,vit16_0,1970-01-20 21:18:32.985,1970-01-20 21:18:32.992,6285.216,Processed,Violated
resnet18_0_1747112987861992,resnet18,0,resnet18_0,1970-01-20 21:18:32.987,1970-01-20 21:18:32.992,4286.828,Processed,Violated
vit16_0_1747112986361946,vit16,0,vit16_0,1970-01-20 21:18:32.986,1970-01-20 21:18:32.992,6185.64,Processed,Violated
resnet18_0_1747112987861992,resnet18,0,resnet18_0,1970-01-20 21:18:32.987,1970-01-20 21:18:32.992,4687.357,Processed,Violated
resnet18_0_1747112988362078,resnet18,0,resnet18_0,1970-01-20 21:18:32.988,1970-01-20 21:18:32.992,4187.271,Processed,Violated
vit16_0_1747112986361946,vit16,0,vit16_0,1970-01-20 21:18:32.986,1970-01-20 21:18:32.992,6586.145,Processed,Violated
vit16_0_1747112986862059,vit16,0,vit16_0,1970-01-20 21:18:32.986,1970-01-20 21:18:32.992,6086.032,Processed,Violated
resnet18_0_1747112988362078,resnet18,0,resnet18_0,1970-01-20 21:18:32.988,1970-01-20 21:18:32.992,4587.77,Processed,Violated
resnet18_0_1747112988862163,resnet18,0,resnet18_0,1970-01-20 21:18:32.988,1970-01-20 21:18:32.992,4087.685,Processed,Violated
vit16_0_1747112986862059,vit16,0,vit16_0,1970-01-20 21:18:32.986,1970-01-20 21:18:32.993,6486.474,Processed,Violated
vit16_0_1747112987362162,vit16,0,vit16_0,1970-01-20 21:18:32.987,1970-01-20 21:18:32.993,5986.371,Processed,Violated
