timestamp,model_name,rate
2025-05-14T16:29:29.446209,resnet18,1
2025-05-14T16:29:29.446228,vit16,1
2025-05-14T16:29:30.448546,resnet18,2
2025-05-14T16:29:30.448567,vit16,2
2025-05-14T16:29:30.448572,resnet18,3
2025-05-14T16:29:30.448575,vit16,3
2025-05-14T16:29:31.450936,resnet18,4
2025-05-14T16:29:31.450963,vit16,4
2025-05-14T16:29:31.450971,resnet18,5
2025-05-14T16:29:31.450977,vit16,5
2025-05-14T16:29:32.454549,resnet18,6
2025-05-14T16:29:32.454580,vit16,6
2025-05-14T16:29:32.454588,resnet18,7
2025-05-14T16:29:32.454594,vit16,7
2025-05-14T16:29:33.458136,resnet18,8
2025-05-14T16:29:33.458160,vit16,8
2025-05-14T16:29:33.458167,resnet18,9
2025-05-14T16:29:33.458173,vit16,9
2025-05-14T16:29:34.460532,resnet18,10
2025-05-14T16:29:34.460556,vit16,10
2025-05-14T16:29:34.460587,resnet18,11
2025-05-14T16:29:34.460593,vit16,10
2025-05-14T16:29:35.412809,resnet18,12
2025-05-14T16:29:35.412844,vit16,10
2025-05-14T16:29:35.413037,resnet18,13
2025-05-14T16:29:35.413044,vit16,10
2025-05-14T16:29:36.416236,resnet18,14
2025-05-14T16:29:36.416262,vit16,10
2025-05-14T16:29:36.416414,resnet18,15
2025-05-14T16:29:36.416421,vit16,10
2025-05-14T16:29:37.419026,resnet18,16
2025-05-14T16:29:37.419057,vit16,10
2025-05-14T16:29:37.419210,resnet18,17
2025-05-14T16:29:37.419217,vit16,10
2025-05-14T16:29:38.421949,resnet18,18
2025-05-14T16:29:38.421975,vit16,10
2025-05-14T16:29:38.422124,resnet18,19
2025-05-14T16:29:38.422131,vit16,10
2025-05-14T16:29:39.424658,resnet18,20
2025-05-14T16:29:39.424682,vit16,10
2025-05-14T16:29:39.424881,resnet18,10
2025-05-14T16:29:39.424887,vit16,10
2025-05-14T16:29:40.427797,resnet18,10
2025-05-14T16:29:40.427825,vit16,10
2025-05-14T16:29:40.428026,resnet18,10
2025-05-14T16:29:40.428033,vit16,10
2025-05-14T16:29:41.430683,resnet18,10
2025-05-14T16:29:41.430711,vit16,10
2025-05-14T16:29:41.430911,resnet18,10
2025-05-14T16:29:41.430917,vit16,10
2025-05-14T16:29:42.433494,resnet18,10
2025-05-14T16:29:42.433521,vit16,10
2025-05-14T16:29:42.433698,resnet18,10
2025-05-14T16:29:42.433705,vit16,10
2025-05-14T16:29:43.436154,resnet18,10
2025-05-14T16:29:43.436180,vit16,10
2025-05-14T16:29:43.436379,resnet18,10
2025-05-14T16:29:43.436386,vit16,10
2025-05-14T16:29:44.438996,resnet18,10
2025-05-14T16:29:44.439020,vit16,10
2025-05-14T16:29:44.439214,resnet18,10
2025-05-14T16:29:44.439221,vit16,10
2025-05-14T16:29:45.442008,resnet18,10
2025-05-14T16:29:45.442034,vit16,10
2025-05-14T16:29:45.442226,resnet18,10
2025-05-14T16:29:45.442232,vit16,10
2025-05-14T16:29:46.445366,resnet18,10
2025-05-14T16:29:46.445373,vit16,10
2025-05-14T16:29:46.445527,resnet18,10
2025-05-14T16:29:46.445532,vit16,10
2025-05-14T16:29:47.447918,resnet18,10
2025-05-14T16:29:47.447948,vit16,10
2025-05-14T16:29:47.448134,resnet18,10
2025-05-14T16:29:47.448140,vit16,10
2025-05-14T16:29:48.450898,resnet18,10
2025-05-14T16:29:48.450905,vit16,10
2025-05-14T16:29:48.451025,resnet18,10
2025-05-14T16:29:48.451031,vit16,10
2025-05-14T16:29:49.453610,resnet18,10
2025-05-14T16:29:49.453637,vit16,10
2025-05-14T16:29:49.453815,resnet18,10
2025-05-14T16:29:49.453822,vit16,10
2025-05-14T16:29:50.456793,resnet18,10
2025-05-14T16:29:50.456801,vit16,10
2025-05-14T16:29:50.456948,resnet18,10
2025-05-14T16:29:50.456954,vit16,10
2025-05-14T16:29:51.459390,resnet18,10
2025-05-14T16:29:51.459414,vit16,10
2025-05-14T16:29:51.459602,resnet18,10
2025-05-14T16:29:51.459608,vit16,10
2025-05-14T16:29:52.462353,resnet18,10
2025-05-14T16:29:52.462358,vit16,10
2025-05-14T16:29:52.462443,resnet18,10
2025-05-14T16:29:52.462447,vit16,10
2025-05-14T16:29:53.415249,resnet18,10
2025-05-14T16:29:53.415278,vit16,10
2025-05-14T16:29:53.415489,resnet18,10
2025-05-14T16:29:53.415496,vit16,10
2025-05-14T16:29:54.418161,resnet18,10
2025-05-14T16:29:54.418169,vit16,10
2025-05-14T16:29:54.418294,resnet18,10
2025-05-14T16:29:54.418300,vit16,10
2025-05-14T16:29:55.420979,resnet18,10
2025-05-14T16:29:55.421005,vit16,10
2025-05-14T16:29:55.421197,resnet18,10
2025-05-14T16:29:55.421203,vit16,10
2025-05-14T16:29:56.424238,resnet18,10
2025-05-14T16:29:56.424246,vit16,10
2025-05-14T16:29:56.424369,resnet18,10
2025-05-14T16:29:56.424374,vit16,10
2025-05-14T16:29:57.427818,resnet18,10
2025-05-14T16:29:57.427844,vit16,10
2025-05-14T16:29:57.428017,resnet18,10
2025-05-14T16:29:57.428024,vit16,10
2025-05-14T16:29:58.430811,resnet18,10
2025-05-14T16:29:58.430818,vit16,10
2025-05-14T16:29:58.430938,resnet18,10
2025-05-14T16:29:58.430943,vit16,10
2025-05-14T16:29:59.433373,resnet18,10
2025-05-14T16:29:59.433398,vit16,10
2025-05-14T16:29:59.433609,resnet18,10
2025-05-14T16:29:59.433616,vit16,10
2025-05-14T16:30:00.436784,resnet18,10
2025-05-14T16:30:00.436792,vit16,10
2025-05-14T16:30:00.436942,resnet18,10
2025-05-14T16:30:00.436948,vit16,10
2025-05-14T16:30:01.439404,resnet18,10
2025-05-14T16:30:01.439477,vit16,10
2025-05-14T16:30:01.439661,resnet18,10
2025-05-14T16:30:01.439669,vit16,10
